TARGETID,p_void,p_sheet,p_filament,p_knot,H
39633435991477816,0.0,1.0,0.0,0.0,-0.0
39633435995668771,0.0,0.95,0.05,0.0,0.14319847855797813
39633430652127539,0.0,0.99,0.01,0.0,0.04039656794795559
39633422527758609,0.0,0.62,0.38,0.0,0.47902101111314976
39633411341553694,0.0,0.13,0.87,0.0,0.2787190925139945
39633422523568008,0.0,0.38,0.62,0.0,0.47902101111314976
39633411312191666,0.0,0.0,1.0,0.0,-0.0
39633416982889263,0.0,0.79,0.21,0.0,0.37074136996563684
39633425254058823,0.0,0.17,0.83,0.0,0.32885238937210975
39633416974502209,0.0,0.73,0.27,0.0,0.42073231810408784
39633411307997786,0.0,0.15,0.85,0.0,0.3049201523582002
39633425249864748,0.0,0.85,0.15,0.0,0.3049201523582002
39633414164320345,0.0,0.64,0.36,0.0,0.4713415946277461
39633411320579614,0.0,0.48,0.52,0.0,0.4994227679976009
39633422510985267,0.0,0.37,0.63,0.0,0.47533604634353294
39633408464259368,0.0,0.63,0.37,0.0,0.47533604634353294
39633422502592739,0.0,0.05,0.95,0.0,0.14319847855797813
39633425258251368,0.0,0.09,0.91,0.0,0.21823490853205144
39633411320579646,0.0,0.07,0.93,0.0,0.18296182545011158
39633414160126194,0.0,0.97,0.03,0.0,0.0971959289157881
39633425249863179,0.0,0.54,0.46,0.0,0.49768921941011285
39633422506788434,0.0,0.17,0.83,0.0,0.32885238937210975
39633422502592622,0.0,0.35,0.65,0.0,0.4670340276877455
39633416978697871,0.0,0.25,0.75,0.0,0.4056390622295664
39633408460062968,0.0,0.03,0.97,0.0,0.0971959289157881
39633416978697750,0.0,0.21,0.79,0.0,0.37074136996563684
39633416978697626,0.0,0.19,0.81,0.0,0.3507357299419487
39633414176903672,0.0,0.25,0.75,0.0,0.4056390622295664
39633427992939534,0.0,0.05,0.93,0.02,0.21317104534994366
39633422527760107,0.0,0.06,0.94,0.0,0.16372245957723813
39633414160126053,0.0,0.55,0.45,0.0,0.49638722699390414
39633419746939796,0.0,0.98,0.02,0.0,0.07072027127091034
39633408476844664,0.0,0.83,0.17,0.0,0.32885238937210975
39633408455872234,0.0,0.12,0.88,0.0,0.2646804326436822
39633414181096313,0.0,0.18,0.82,0.0,0.34003852286413994
39633411328968445,0.0,0.14,0.86,0.0,0.292119405821428
39633411328968591,0.0,0.04,0.96,0.0,0.12114609454120741
39633411328968618,0.0,0.06,0.94,0.0,0.16372245957723813
39633427967772839,0.0,0.75,0.25,0.0,0.4056390622295664
39633427967772811,0.0,0.12,0.88,0.0,0.2646804326436822
39633416970307212,0.0,0.78,0.22,0.0,0.38008375148098283
39633419772101374,0.0,0.0,0.85,0.15,0.3049201523582002
39633402676118037,0.0,0.75,0.25,0.0,0.4056390622295664
39633405578577069,0.0,0.04,0.95,0.01,0.16124668093016215
39633422544537109,0.0,0.49,0.51,0.0,0.49985572087640495
39633411316386089,0.0,0.9,0.1,0.0,0.2344977967946406
39633408451676006,0.0,0.88,0.12,0.0,0.2646804326436822
39633427967772780,0.0,0.41,0.59,0.0,0.488250234378912
39633427967772992,0.0,0.0,0.89,0.11,0.249957979082264
39633430664711856,0.0,0.21,0.79,0.0,0.37074136996563684
39633411341553042,0.0,0.99,0.01,0.0,0.04039656794795559
39633408476842631,0.0,0.05,0.95,0.0,0.14319847855797813
39633427984550551,0.0,1.0,0.0,0.0,-0.0
39633416957723326,0.0,0.19,0.81,0.0,0.3507357299419487
39633405570188192,0.0,0.24,0.76,0.0,0.39752013969226113
39633430656322970,0.0,0.64,0.36,0.0,0.4713415946277461
39633408472646494,0.0,0.95,0.05,0.0,0.14319847855797813
39633425266642548,0.0,0.22,0.78,0.0,0.38008375148098283
39633425270834191,0.0,0.09,0.91,0.0,0.21823490853205144
39633408472646443,0.0,0.91,0.09,0.0,0.21823490853205144
39633422510984444,0.0,0.2,0.8,0.0,0.36096404744368116
39633422515179005,0.0,0.96,0.04,0.0,0.12114609454120741
