TARGETID,p_void,p_sheet,p_filament,p_knot,H
39632981869988695,0.0,1.0,0.0,0.0,-0.0
39632976908127265,0.0,1.0,0.0,0.0,-0.0
39632951855550767,0.0,0.93,0.07,0.0,0.18296182545011158
39632961884130033,0.0,0.89,0.11,0.0,0.249957979082264
39632976861989596,0.0,0.65,0.35,0.0,0.4670340276877455
39632971921099130,0.0,0.84,0.16,0.0,0.3171547773202831
39632996633937863,0.01,0.99,0.0,0.0,0.04039656794795559
39632966900518718,0.0,0.18,0.82,0.0,0.34003852286413994
39632956884519688,0.0,0.7,0.3,0.0,0.44064544961534635
39632981849017433,0.0,0.49,0.51,0.0,0.49985572087640495
39632966892127354,0.0,0.45,0.55,0.0,0.49638722699390414
39632946767858011,0.0,0.17,0.83,0.0,0.32885238937210975
39632996650715503,0.0,0.43,0.57,0.0,0.4929075185894599
39632996650715431,0.0,0.33,0.67,0.0,0.4574631863898637
39632996650715028,0.0,0.04,0.96,0.0,0.12114609454120741
39632996650715018,0.0,0.05,0.95,0.0,0.14319847855797813
39632956876130077,0.0,0.06,0.94,0.0,0.16372245957723813
39632981828042804,0.0,0.13,0.87,0.0,0.2787190925139945
39632981823852388,0.0,0.0,0.87,0.13,0.2787190925139945
39632981823852146,0.0,0.82,0.18,0.0,0.34003852286413994
39632981828042865,0.0,0.33,0.67,0.0,0.4574631863898637
39632981823849804,0.0,0.93,0.07,0.0,0.18296182545011158
39632941722112146,0.0,0.17,0.83,0.0,0.32885238937210975
39632941722111938,0.0,0.33,0.67,0.0,0.4574631863898637
39632941722111915,0.0,0.72,0.28,0.0,0.4277254052800653
39632976878766409,0.0,0.8,0.2,0.0,0.36096404744368116
39632981849017359,0.0,0.0,0.99,0.01,0.04039656794795559
39632956884519783,0.0,0.0,0.93,0.07,0.18296182545011158
39632981844822240,0.0,0.47,0.53,0.0,0.4987007942838698
39632981832239010,0.0,0.78,0.22,0.0,0.38008375148098283
39632981832239312,0.0,0.94,0.06,0.0,0.16372245957723813
39632981836433239,0.0,0.05,0.95,0.0,0.14319847855797813
39632951826188247,0.0,0.01,0.99,0.0,0.04039656794795559
39632991739185824,0.0,0.09,0.9,0.01,0.2579475764741046
39632991739185873,0.0,0.55,0.45,0.0,0.49638722699390414
