TARGETID,p_void,p_sheet,p_filament,p_knot,H
39627823480047092,0.0,0.06,0.92,0.02,0.2335407200795017
39627865767019397,0.0,0.89,0.11,0.0,0.249957979082264
39627829507263092,0.02,0.97,0.01,0.0,0.11097036642660543
39627853662258448,0.0,0.05,0.95,0.0,0.14319847855797813
39627835576419428,0.0,0.08,0.92,0.0,0.2010895951011364
39627811400450966,0.0,0.02,0.98,0.0,0.07072027127091034
39627853662258569,0.0,0.31,0.69,0.0,0.4465867291889284
39627859739804785,0.0,0.07,0.93,0.0,0.18296182545011158
39627835576419247,0.0,0.99,0.01,0.0,0.04039656794795559
39627853687427061,0.0,0.15,0.85,0.0,0.3049201523582002
39627829524042810,0.0,0.9,0.1,0.0,0.2344977967946406
39627877821450950,0.0,0.85,0.15,0.0,0.3049201523582002
39627853687427146,0.0,0.09,0.91,0.0,0.21823490853205144
39627835576419465,0.0,0.1,0.9,0.0,0.2344977967946406
39627823480047073,0.0,0.02,0.94,0.04,0.1912713345988728
39627823480047438,0.0,0.07,0.93,0.0,0.18296182545011158
39627859727223194,0.0,0.1,0.9,0.0,0.2344977967946406
39627871781652080,0.0,0.59,0.41,0.0,0.488250234378912
39627841595244842,0.0,0.78,0.22,0.0,0.38008375148098283
39627829536622212,0.0,0.56,0.44,0.0,0.4947937606110278
39627859735610983,0.0,0.0,0.55,0.45,0.49638722699390414
39627859735610994,0.0,0.05,0.95,0.0,0.14319847855797813
39627853674840267,0.0,0.28,0.72,0.0,0.4277254052800653
39627859727223435,0.0,0.87,0.13,0.0,0.2787190925139945
39627871785846734,0.0,0.81,0.19,0.0,0.3507357299419487
39627817452833992,0.0,0.99,0.01,0.0,0.04039656794795559
39627835584809703,0.0,0.73,0.27,0.0,0.42073231810408784
39627835584809638,0.0,0.86,0.14,0.0,0.292119405821428
39627835584809749,0.02,0.98,0.0,0.0,0.07072027127091034
39627841624607795,0.0,0.48,0.52,0.0,0.4994227679976009
39627871794233722,0.02,0.98,0.0,0.0,0.07072027127091034
39627835576419514,0.0,0.22,0.78,0.0,0.38008375148098283
39627871785846740,0.0,0.03,0.97,0.0,0.0971959289157881
39627823501017881,0.0,0.05,0.95,0.0,0.14319847855797813
39627859714640025,0.0,0.28,0.72,0.0,0.4277254052800653
39627871777459793,0.0,0.41,0.59,0.0,0.488250234378912
39627841612023767,0.0,0.02,0.98,0.0,0.07072027127091034
39627859718833636,0.0,0.45,0.55,0.0,0.49638722699390414
39627859718833762,0.0,0.86,0.14,0.0,0.292119405821428
39627829545011037,0.0,0.23,0.77,0.0,0.38900565177326885
39627859718835796,0.0,0.21,0.79,0.0,0.37074136996563684
39627841586859703,0.0,0.95,0.05,0.0,0.14319847855797813
39627841586859635,0.0,0.9,0.1,0.0,0.2344977967946406
39627859723031209,0.0,0.0,0.99,0.01,0.04039656794795559
39627841599442374,0.0,0.98,0.02,0.0,0.07072027127091034
39627853700008929,0.0,0.51,0.49,0.0,0.49985572087640495
39627823484242852,0.0,0.07,0.93,0.0,0.18296182545011158
39627805369043869,0.0,0.95,0.05,0.0,0.14319847855797813
39627859731417561,0.0,0.66,0.34,0.0,0.46240935248651505
39627847626656487,0.0,0.53,0.47,0.0,0.4987007942838698
39627811417230857,0.0,0.84,0.16,0.0,0.3171547773202831
39627841586859180,0.0,0.15,0.85,0.0,0.3049201523582002
39627847626656327,0.0,0.02,0.98,0.0,0.07072027127091034
39627847626656362,0.0,0.54,0.46,0.0,0.49768921941011285
39627811417230369,0.0,0.73,0.27,0.0,0.42073231810408784
39627841586859066,0.0,0.24,0.76,0.0,0.39752013969226113
39627859727224271,0.0,0.02,0.98,0.0,0.07072027127091034
39627829524038173,0.0,0.05,0.95,0.0,0.14319847855797813
39627847626656546,0.0,0.13,0.87,0.0,0.2787190925139945
39627811413034446,0.0,0.31,0.69,0.0,0.4465867291889284
39627859706250588,0.0,0.39,0.61,0.0,0.4823997742525436
39627835542867274,0.0,0.06,0.93,0.01,0.20367037270049304
39627805364850033,0.0,0.16,0.84,0.0,0.3171547773202831
39627805364849679,0.0,0.17,0.83,0.0,0.32885238937210975
39627853670649648,0.0,0.59,0.41,0.0,0.488250234378912
39627847622461446,0.0,0.01,0.99,0.0,0.04039656794795559
39627829524038127,0.0,0.03,0.97,0.0,0.0971959289157881
39627829524038165,0.0,0.73,0.27,0.0,0.42073231810408784
39627817431864272,0.02,0.97,0.01,0.0,0.11097036642660543
39627859706251459,0.0,0.78,0.22,0.0,0.38008375148098283
39627847626656659,0.0,0.45,0.55,0.0,0.49638722699390414
39627817431860301,0.0,0.65,0.35,0.0,0.4670340276877455
39627859723027817,0.0,0.01,0.99,0.0,0.04039656794795559
39627823463273738,0.0,1.0,0.0,0.0,-0.0
