TARGETID,p_void,p_sheet,p_filament,p_knot,H
39633300993605737,0.0,0.88,0.12,0.0,0.2646804326436822
39633300989415117,0.0,0.13,0.87,0.0,0.2787190925139945
39633293741655168,0.0,0.98,0.02,0.0,0.07072027127091034
39633308149089719,0.0,1.0,0.0,0.0,-0.0
39633271432154790,0.0,0.47,0.53,0.0,0.4987007942838698
39633271432154863,0.0,0.88,0.12,0.0,0.2646804326436822
39633278935761064,0.0,0.8,0.2,0.0,0.36096404744368116
39633267686637893,0.0,0.74,0.26,0.0,0.4133731862463089
39633271436348020,0.0,0.01,0.85,0.14,0.33142210248480686
39633300955858947,0.0,0.48,0.52,0.0,0.4994227679976009
39633275219608161,0.0,0.74,0.26,0.0,0.4133731862463089
39633267665667894,0.0,0.01,0.99,0.0,0.04039656794795559
39633300955858661,0.0,0.58,0.42,0.0,0.49072694751682683
39633271453125687,0.0,0.78,0.22,0.0,0.38008375148098283
39633293691325643,0.03,0.96,0.01,0.0,0.13737165703039006
39633300951665418,0.0,0.65,0.35,0.0,0.4670340276877455
39633282677080339,0.0,0.95,0.05,0.0,0.14319847855797813
39633278948347703,0.0,0.3,0.7,0.0,0.44064544961534635
39633282677083019,0.0,0.19,0.81,0.0,0.3507357299419487
39633275190248993,0.0,0.17,0.83,0.0,0.32885238937210975
39633275190248997,0.0,0.35,0.65,0.0,0.4670340276877455
39633286380652190,0.0,0.84,0.16,0.0,0.3171547773202831
39633275207026501,0.0,0.25,0.75,0.0,0.4056390622295664
39633275202833526,0.0,0.25,0.75,0.0,0.4056390622295664
39633297369727560,0.0,0.6,0.4,0.0,0.4854752972273343
39633293720683881,0.0,0.09,0.91,0.0,0.21823490853205144
39633271444735588,0.0,0.17,0.83,0.0,0.32885238937210975
39633275198639416,0.0,0.46,0.54,0.0,0.49768921941011285
39633278931570006,0.0,0.02,0.98,0.0,0.07072027127091034
39633293703907882,0.0,0.0,0.99,0.01,0.04039656794795559
39633263865629136,0.0,0.64,0.36,0.0,0.4713415946277461
39633300976829228,0.0,0.0,0.92,0.08,0.2010895951011364
39633267682444006,0.0,0.06,0.94,0.0,0.16372245957723813
39633267682445362,0.0,0.53,0.47,0.0,0.4987007942838698
39633271469900580,0.0,0.01,0.99,0.0,0.04039656794795559
39633267674056468,0.0,0.77,0.23,0.0,0.38900565177326885
39633267674055364,0.0,0.45,0.55,0.0,0.49638722699390414
39633271469900415,0.0,1.0,0.0,0.0,-0.0
39633271469900332,0.0,0.77,0.23,0.0,0.38900565177326885
39633300972634251,0.0,0.99,0.01,0.0,0.04039656794795559
39633271469900324,0.0,0.42,0.58,0.0,0.49072694751682683
39633271469900180,0.0,0.27,0.73,0.0,0.42073231810408784
39633263865629765,0.0,0.89,0.11,0.0,0.249957979082264
39633271465708415,0.0,0.77,0.23,0.0,0.38900565177326885
39633271465708437,0.0,0.46,0.54,0.0,0.49768921941011285
39633271465708754,0.0,0.0,1.0,0.0,-0.0
39633267669862090,0.0,0.24,0.75,0.01,0.4359255858648683
39633271465709551,0.0,0.99,0.01,0.0,0.04039656794795559
39633271469899978,0.0,0.43,0.57,0.0,0.4929075185894599
39633271469900247,0.0,0.54,0.46,0.0,0.49768921941011285
39633267669863057,0.0,0.96,0.04,0.0,0.12114609454120741
39633263865629679,0.0,0.48,0.52,0.0,0.4994227679976009
39633267669863357,0.0,0.85,0.15,0.0,0.3049201523582002
39633267674055013,0.0,0.07,0.93,0.0,0.18296182545011158
39633300968443310,0.0,0.11,0.89,0.0,0.249957979082264
39633300972634158,0.0,0.84,0.16,0.0,0.3171547773202831
39633271469900128,0.0,0.49,0.51,0.0,0.49985572087640495
39633267686637673,0.0,0.36,0.64,0.0,0.4713415946277461
39633275190249927,0.0,0.5,0.5,0.0,0.5
39633263869822228,0.0,0.15,0.85,0.0,0.3049201523582002
39633271448929353,0.01,0.96,0.03,0.0,0.13737165703039006
39633271448929133,0.0,0.04,0.94,0.02,0.19127133459887283
