TARGETID,p_void,p_sheet,p_filament,p_knot,H
39633154083914952,0.0,0.96,0.04,0.0,0.12114609454120741
39633149692478158,0.0,0.54,0.46,0.0,0.49768921941011285
39633149692480142,0.0,0.94,0.06,0.0,0.16372245957723813
39633149692480150,0.0,0.63,0.37,0.0,0.47533604634353294
39633149705063506,0.0,0.85,0.15,0.0,0.3049201523582002
39633136572695971,0.0,0.54,0.46,0.0,0.49768921941011285
39633145334598543,0.0,0.84,0.16,0.0,0.3171547773202831
39633158378884372,0.0,0.46,0.54,0.0,0.49768921941011285
39633127689160438,0.0,0.27,0.73,0.0,0.42073231810408784
39633136539141639,0.0,0.17,0.83,0.0,0.32885238937210975
39633132164482279,0.0,0.06,0.94,0.0,0.16372245957723813
39633145322015185,0.0,0.29,0.71,0.0,0.43436062316970225
39633123268366118,0.0,0.35,0.65,0.0,0.4670340276877455
39633132143512043,0.0,0.94,0.06,0.0,0.16372245957723813
39633132164483940,0.0,0.0,0.96,0.04,0.12114609454120741
39633127701745820,0.0,0.97,0.03,0.0,0.0971959289157881
39633127701745846,0.0,0.13,0.87,0.0,0.2787190925139945
39633132160289624,0.0,0.21,0.79,0.0,0.37074136996563684
39633123272560091,0.0,0.48,0.52,0.0,0.4994227679976009
39633158366299470,0.0,0.7,0.3,0.0,0.44064544961534635
39633140951549953,0.0,0.18,0.82,0.0,0.34003852286413994
39633149717643328,0.0,0.37,0.63,0.0,0.47533604634353294
39633127701741654,0.0,0.98,0.02,0.0,0.07072027127091034
39633158391468083,0.0,0.0,0.94,0.06,0.16372245957723813
39633158391467944,0.0,0.01,0.99,0.0,0.04039656794795559
39633132151898797,0.0,0.39,0.61,0.0,0.4823997742525436
39633123255779936,0.0,0.32,0.68,0.0,0.45219072886224687
39633158395662295,0.0,0.81,0.19,0.0,0.3507357299419487
39633136539143606,0.0,0.63,0.37,0.0,0.47533604634353294
39633140951550449,0.0,1.0,0.0,0.0,-0.0
39633158391467853,0.0,0.1,0.9,0.0,0.2344977967946406
39633158374690166,0.0,0.95,0.05,0.0,0.14319847855797813
39633136572697467,0.0,0.7,0.3,0.0,0.44064544961534635
39633132118347114,0.0,0.68,0.32,0.0,0.45219072886224687
39633136564310701,0.0,0.14,0.86,0.0,0.292119405821428
39633154075527008,0.0,0.02,0.97,0.01,0.11097036642660543
39633136551726052,0.0,0.1,0.9,0.0,0.2344977967946406
39633136551725936,0.0,0.6,0.4,0.0,0.4854752972273343
39633140968327057,0.02,0.92,0.06,0.0,0.23354072007950172
39633154050363638,0.0,0.43,0.57,0.0,0.4929075185894599
39633136551725910,0.0,0.86,0.14,0.0,0.292119405821428
39633158370495588,0.0,0.37,0.63,0.0,0.47533604634353294
39633158370495469,0.0,0.01,0.94,0.05,0.1832231322266888
39633162678044671,0.0,0.73,0.27,0.0,0.42073231810408784
39633127718521768,0.0,0.01,0.92,0.07,0.22283217282912027
39633158370493431,0.0,0.97,0.03,0.0,0.0971959289157881
39633145363956625,0.0,0.44,0.56,0.0,0.4947937606110278
39633158370492575,0.0,0.51,0.49,0.0,0.49985572087640495
39633149713449931,0.0,0.31,0.69,0.0,0.4465867291889284
39633123272559913,0.0,0.12,0.88,0.0,0.2646804326436822
39633118784651463,0.0,0.53,0.47,0.0,0.4987007942838698
39633136581086249,0.0,0.66,0.34,0.0,0.46240935248651505
