TARGETID,r,type,p_void,p_sheet,p_filament,p_knot,H
39633443805466311,-0.15384615384615385,sheet,0.0,0.81,0.19,0.0,0.3507357299419487
39633458762352689,-0.2857142857142857,sheet,0.0,1.0,0.0,0.0,-0.0
39633456333848712,0.18181818181818182,sheet,0.0,0.53,0.47,0.0,0.4987007942838698
39633443805466762,-0.3,sheet,0.0,0.9,0.1,0.0,0.2344977967946406
39633453855017151,-0.38461538461538464,sheet,0.0,0.99,0.01,0.0,0.04039656794795559
39633458737186510,-0.23076923076923078,sheet,0.0,0.72,0.28,0.0,0.4277254052800653
39633441225966042,-0.25,sheet,0.0,0.75,0.25,0.0,0.4056390622295664
39633451367793027,-0.2631578947368421,sheet,0.0,0.84,0.16,0.0,0.3171547773202831
39633441225966014,-0.8,sheet,0.01,0.99,0.0,0.0,0.04039656794795559
39633461157302032,0.0,filament,0.0,0.44,0.56,0.0,0.4947937606110278
39633461157299489,0.4,filament,0.0,0.07,0.93,0.0,0.18296182545011158
39633451367793044,-0.5,sheet,0.0,0.98,0.02,0.0,0.07072027127091034
39633446326239577,0.09090909090909091,filament,0.0,0.46,0.54,0.0,0.49768921941011285
39633443805462632,-0.09090909090909091,filament,0.0,0.41,0.59,0.0,0.488250234378912
39633456321269169,-0.25,sheet,0.0,0.62,0.38,0.0,0.47902101111314976
39633456321269072,0.5714285714285714,filament,0.0,0.0,0.89,0.11,0.249957979082264
39633461132132885,0.3333333333333333,filament,0.0,0.07,0.93,0.0,0.18296182545011158
39633461157299335,0.625,filament,0.0,0.0,1.0,0.0,-0.0
39633468203730251,-0.058823529411764705,sheet,0.0,0.7,0.3,0.0,0.44064544961534635
39633443792882899,0.2,filament,0.0,0.26,0.74,0.0,0.4133731862463089
39633463535471606,0.14285714285714285,filament,0.0,0.03,0.96,0.01,0.13737165703039006
39633463535471535,0.6,filament,0.0,0.0,1.0,0.0,-0.0
39633443805462610,-0.3333333333333333,sheet,0.0,0.86,0.14,0.0,0.292119405821428
39633468203729249,0.1111111111111111,filament,0.0,0.33,0.67,0.0,0.4574631863898637
39633463535471652,0.0,filament,0.0,0.36,0.64,0.0,0.4713415946277461
39633463535472658,0.25,filament,0.0,0.35,0.65,0.0,0.4670340276877455
39633446313657124,0.16666666666666666,sheet,0.0,0.57,0.43,0.0,0.4929075185894599
39633465871699379,0.17647058823529413,sheet,0.0,0.56,0.44,0.0,0.4947937606110278
39633443792880479,0.3333333333333333,filament,0.0,0.04,0.96,0.0,0.12114609454120741
39633438617111969,0.0,sheet,0.0,0.75,0.25,0.0,0.4056390622295664
39633446334632052,0.5,filament,0.0,0.01,0.97,0.02,0.11097036642660543
39633456287713655,-0.09090909090909091,sheet,0.0,0.77,0.23,0.0,0.38900565177326885
39633456287713623,0.043478260869565216,sheet,0.0,0.97,0.03,0.0,0.0971959289157881
39633463535472664,-0.6363636363636364,sheet,0.0,0.99,0.01,0.0,0.04039656794795559
39633448859599612,0.09090909090909091,sheet,0.0,0.72,0.28,0.0,0.4277254052800653
39633458720407956,-0.2222222222222222,sheet,0.0,0.66,0.34,0.0,0.46240935248651505
39633458716215016,0.0,sheet,0.0,0.81,0.19,0.0,0.3507357299419487
39633446313656736,0.058823529411764705,filament,0.0,0.37,0.63,0.0,0.47533604634353294
39633463535471417,-0.07692307692307693,filament,0.0,0.28,0.72,0.0,0.4277254052800653
39633443805462618,-0.5789473684210527,sheet,0.0,0.97,0.03,0.0,0.0971959289157881
39633448876378714,0.4444444444444444,filament,0.0,0.02,0.97,0.01,0.11097036642660543
39633443801272148,-0.09090909090909091,filament,0.0,0.4,0.6,0.0,0.4854752972273343
39633458728797940,0.29411764705882354,filament,0.0,0.34,0.66,0.0,0.46240935248651505
39633456287713935,0.0,filament,0.0,0.14,0.86,0.0,0.292119405821428
39633451384572527,0.0,sheet,0.0,0.7,0.3,0.0,0.44064544961534635
39633446338823859,-0.12,sheet,0.0,0.62,0.38,0.0,0.47902101111314976
39633456291908159,0.2,sheet,0.0,0.59,0.41,0.0,0.488250234378912
39633441196608287,-0.6923076923076923,sheet,0.0,1.0,0.0,0.0,-0.0
