TARGETID,r,type,p_void,p_sheet,p_filament,p_knot,H
39633424666853694,-0.5714285714285714,sheet,0.02,0.98,0.0,0.0,0.07072027127091034
39633424641689297,-0.8,sheet,0.0,0.98,0.02,0.0,0.07072027127091034
39633424662662070,-0.2222222222222222,sheet,0.0,0.74,0.26,0.0,0.4133731862463089
39633424641688021,-0.5151515151515151,sheet,0.0,1.0,0.0,0.0,-0.0
39633424637495390,-0.42857142857142855,sheet,0.0,1.0,0.0,0.0,-0.0
39633424637495131,-0.42857142857142855,sheet,0.0,0.98,0.02,0.0,0.07072027127091034
39633421932168351,-0.44,sheet,0.0,1.0,0.0,0.0,-0.0
39633424641688143,-0.4,sheet,0.0,0.94,0.06,0.0,0.16372245957723813
39633419113596842,-0.16129032258064516,sheet,0.0,0.98,0.02,0.0,0.07072027127091034
39633419163926747,-0.28,sheet,0.0,0.98,0.02,0.0,0.07072027127091034
39633421890224291,0.20930232558139536,sheet,0.0,0.79,0.21,0.0,0.37074136996563684
39633413556144817,0.0,sheet,0.0,0.98,0.02,0.0,0.07072027127091034
39633421890225096,-0.3548387096774194,sheet,0.0,0.97,0.03,0.0,0.0971959289157881
39633421890225203,-0.21212121212121213,sheet,0.0,0.92,0.08,0.0,0.2010895951011364
39633421890225617,-0.48148148148148145,sheet,0.0,0.99,0.01,0.0,0.04039656794795559
39633421927975027,-0.7692307692307693,sheet,0.0,1.0,0.0,0.0,-0.0
39633427372181784,-0.26666666666666666,sheet,0.0,0.94,0.06,0.0,0.16372245957723813
39633427376376703,-0.8666666666666667,sheet,0.0,0.98,0.02,0.0,0.07072027127091034
39633427372180387,-0.5428571428571428,sheet,0.0,1.0,0.0,0.0,-0.0
39633427372181107,-0.23076923076923078,sheet,0.0,0.88,0.12,0.0,0.2646804326436822
39633427376376874,-0.7857142857142857,sheet,0.02,0.98,0.0,0.0,0.07072027127091034
39633427393151681,-0.4857142857142857,sheet,0.0,1.0,0.0,0.0,-0.0
