TARGETID,p_void,p_sheet,p_filament,p_knot,H
39627745528908660,0.0,0.84,0.16,0.0,0.3171547773202831
39627745528908343,0.0,1.0,0.0,0.0,-0.0
39627745528908339,0.0,0.84,0.16,0.0,0.3171547773202831
39627745528908322,0.13,0.87,0.0,0.0,0.2787190925139945
39627751577094022,0.0,0.26,0.74,0.0,0.4133731862463089
39627799903867366,0.0,0.52,0.48,0.0,0.4994227679976009
39627751581287316,0.0,1.0,0.0,0.0,-0.0
39627751577093842,0.0,1.0,0.0,0.0,-0.0
39627751551930827,0.03,0.97,0.0,0.0,0.0971959289157881
39627775744676121,0.03,0.97,0.0,0.0,0.0971959289157881
39627775748866761,0.0,1.0,0.0,0.0,-0.0
39627781788664974,0.0,1.0,0.0,0.0,-0.0
39627787824270953,0.0,0.7,0.3,0.0,0.44064544961534635
39627787824272039,0.0,0.97,0.03,0.0,0.0971959289157881
39627751577093767,0.0,0.9,0.1,0.0,0.2344977967946406
39627751577092441,0.0,1.0,0.0,0.0,-0.0
39627751572902172,0.0,1.0,0.0,0.0,-0.0
39627751572901947,0.0,0.97,0.03,0.0,0.0971959289157881
39627745520518622,0.0,0.96,0.04,0.0,0.12114609454120741
39627787824272101,0.0,0.96,0.04,0.0,0.12114609454120741
39627745512132858,0.01,0.99,0.0,0.0,0.04039656794795559
39627745524713546,0.01,0.99,0.0,0.0,0.04039656794795559
39627745520520153,0.0,1.0,0.0,0.0,-0.0
39627745520522101,0.0,1.0,0.0,0.0,-0.0
39627745520521003,0.01,0.99,0.0,0.0,0.04039656794795559
39627757616892945,0.0,0.99,0.01,0.0,0.04039656794795559
39627757621085261,0.0,0.5,0.5,0.0,0.5
39627757621086406,0.0,0.89,0.11,0.0,0.249957979082264
39627757621084512,0.0,0.92,0.08,0.0,0.2010895951011364
39627757621084559,0.0,1.0,0.0,0.0,-0.0
39627769704879212,0.0,1.0,0.0,0.0,-0.0
39627769704878251,0.0,0.99,0.01,0.0,0.04039656794795559
39627769704877077,0.0,0.94,0.06,0.0,0.16372245957723813
39627757621087736,0.0,1.0,0.0,0.0,-0.0
39627745528907178,0.0,0.93,0.07,0.0,0.18296182545011158
39627745524716236,0.08,0.92,0.0,0.0,0.2010895951011364
39627745528906504,0.0,0.98,0.02,0.0,0.07072027127091034
39627745528906433,0.0,0.96,0.04,0.0,0.12114609454120741
39627830081881965,0.0,1.0,0.0,0.0,-0.0
39627805943661525,0.0,0.99,0.01,0.0,0.04039656794795559
39627824050474170,0.0,0.97,0.03,0.0,0.0971959289157881
39627830073492339,0.0,1.0,0.0,0.0,-0.0
39627805939470744,0.0,0.95,0.05,0.0,0.14319847855797813
39627805905915946,0.0,0.0,1.0,0.0,-0.0
39627769679708415,0.0,0.18,0.82,0.0,0.34003852286413994
39627757591726063,0.0,0.05,0.95,0.0,0.14319847855797813
39627769679708270,0.0,0.6,0.4,0.0,0.4854752972273343
39627787811686778,0.0,0.49,0.51,0.0,0.49985572087640495
39627763623136092,0.0,0.24,0.76,0.0,0.39752013969226113
39627787778133795,0.0,0.29,0.7,0.01,0.4722717946631261
39627793830510964,0.0,0.0,0.99,0.01,0.04039656794795559
39627781763498324,0.0,0.85,0.15,0.0,0.3049201523582002
39627775698538120,0.0,0.09,0.91,0.0,0.21823490853205144
39627757604311091,0.0,0.81,0.19,0.0,0.3507357299419487
39627757604309349,0.0,0.0,1.0,0.0,-0.0
39627781763499758,0.0,0.15,0.85,0.0,0.3049201523582002
39627757604309206,0.0,0.91,0.09,0.0,0.21823490853205144
39627781763499886,0.0,0.41,0.59,0.0,0.488250234378912
39627805910111622,0.0,0.27,0.73,0.0,0.42073231810408784
39627805910112054,0.0,0.96,0.04,0.0,0.12114609454120741
39627781755112462,0.0,0.07,0.93,0.0,0.18296182545011158
39627787778133814,0.0,0.19,0.81,0.0,0.3507357299419487
39627787778133975,0.0,0.09,0.91,0.0,0.21823490853205144
39627793822125575,0.0,0.11,0.89,0.0,0.249957979082264
39627799878700860,0.0,0.19,0.81,0.0,0.3507357299419487
39627793847289465,0.0,0.0,1.0,0.0,-0.0
39627775715312607,0.0,0.84,0.16,0.0,0.3171547773202831
39627799874503273,0.0,0.06,0.94,0.0,0.16372245957723813
39627799861923023,0.0,0.7,0.3,0.0,0.44064544961534635
39627787790715711,0.0,0.48,0.52,0.0,0.4994227679976009
39627787790716038,0.0,0.35,0.65,0.0,0.4670340276877455
39627811966681458,0.0,0.11,0.89,0.0,0.249957979082264
39627818002289678,0.0,0.02,0.98,0.0,0.07072027127091034
39627751564514136,0.0,0.01,0.99,0.0,0.04039656794795559
39627769679713044,0.0,0.39,0.61,0.0,0.4823997742525436
39627781767696315,0.0,0.77,0.23,0.0,0.38900565177326885
39627757587534155,0.0,0.02,0.95,0.03,0.1674722434193448
39627757587534941,0.0,0.48,0.52,0.0,0.4994227679976009
39627757595923304,0.0,0.03,0.97,0.0,0.0971959289157881
39627775702734163,0.0,0.38,0.62,0.0,0.47902101111314976
39627775723702308,0.0,0.07,0.93,0.0,0.18296182545011158
39627775723702339,0.0,0.08,0.92,0.0,0.2010895951011364
39627781734141493,0.0,0.25,0.75,0.0,0.4056390622295664
39627769692293492,0.0,0.96,0.04,0.0,0.12114609454120741
39627769688102326,0.0,0.57,0.43,0.0,0.4929075185894599
39627769683906326,0.0,0.92,0.08,0.0,0.2010895951011364
39627769679712258,0.0,0.01,0.99,0.0,0.04039656794795559
39627769679712035,0.0,0.58,0.42,0.0,0.49072694751682683
39627769658738084,0.0,0.05,0.95,0.0,0.14319847855797813
39627763635719438,0.0,1.0,0.0,0.0,-0.0
39627781734142757,0.0,0.63,0.37,0.0,0.47533604634353294
39627824033696280,0.0,0.28,0.72,0.0,0.4277254052800653
39627817985508188,0.0,0.21,0.79,0.0,0.37074136996563684
39627811954100233,0.0,0.69,0.31,0.0,0.4465867291889284
39627811954100235,0.0,0.24,0.76,0.0,0.39752013969226113
39627805914302970,0.0,0.47,0.53,0.0,0.4987007942838698
39627817993899511,0.0,0.08,0.92,0.0,0.2010895951011364
39627799861923307,0.0,0.77,0.23,0.0,0.38900565177326885
39627805931079939,0.0,0.34,0.66,0.0,0.46240935248651505
39627787778133162,0.0,0.03,0.95,0.02,0.1674722434193448
39627805922693536,0.0,0.13,0.87,0.0,0.2787190925139945
39627781771890144,0.0,0.05,0.95,0.0,0.14319847855797813
39627793838899949,0.0,0.02,0.98,0.0,0.07072027127091034
39627805914300518,0.0,0.03,0.97,0.0,0.0971959289157881
39627805931080462,0.0,0.79,0.21,0.0,0.37074136996563684
39627793822122310,0.0,0.53,0.47,0.0,0.4987007942838698
39627817998093549,0.0,0.85,0.15,0.0,0.3049201523582002
39627817998093434,0.0,0.41,0.59,0.0,0.488250234378912
39627824033695991,0.0,1.0,0.0,0.0,-0.0
39627781771890386,0.0,0.26,0.74,0.0,0.4133731862463089
39627811975069934,0.0,0.74,0.26,0.0,0.4133731862463089
39627781771890529,0.0,0.09,0.91,0.0,0.21823490853205144
39627799857729880,0.0,0.05,0.95,0.0,0.14319847855797813
39627781763499896,0.0,0.21,0.79,0.0,0.37074136996563684
39627781771890977,0.0,0.99,0.01,0.0,0.04039656794795559
39627793830515016,0.0,0.28,0.72,0.0,0.4277254052800653
39627817998095563,0.0,0.06,0.94,0.0,0.16372245957723813
39627781767693818,0.0,0.97,0.03,0.0,0.0971959289157881
39627799857730567,0.0,0.42,0.58,0.0,0.49072694751682683
39627787790716982,0.0,0.36,0.64,0.0,0.4713415946277461
39627811954100112,0.0,0.03,0.97,0.0,0.0971959289157881
39627787790716978,0.0,0.37,0.63,0.0,0.47533604634353294
39627787790716679,0.01,0.96,0.03,0.0,0.13737165703039006
39627799861924306,0.0,0.01,0.99,0.0,0.04039656794795559
39627811941517750,0.0,0.09,0.91,0.0,0.21823490853205144
39627811949905520,0.0,0.14,0.86,0.0,0.292119405821428
39627799861924556,0.01,0.93,0.06,0.0,0.20367037270049304
39627787790716602,0.0,0.78,0.22,0.0,0.38008375148098283
39627811941516982,0.0,0.1,0.9,0.0,0.2344977967946406
39627781738337160,0.0,0.0,0.97,0.03,0.0971959289157881
39627799882895277,0.0,0.08,0.92,0.0,0.2010895951011364
39627811949905426,0.0,0.28,0.72,0.0,0.4277254052800653
39627799857730370,0.01,0.99,0.0,0.0,0.04039656794795559
39627805914304176,0.08,0.91,0.01,0.0,0.24088153359695552
39627817985508312,0.0,0.82,0.18,0.0,0.34003852286413994
39627769679710901,0.0,0.03,0.97,0.0,0.0971959289157881
39627805918498409,0.0,0.05,0.95,0.0,0.14319847855797813
39627763635719963,0.0,0.66,0.34,0.0,0.46240935248651505
39627799874507813,0.0,0.67,0.33,0.0,0.4574631863898637
39627793830512628,0.0,0.57,0.43,0.0,0.4929075185894599
39627757583339530,0.0,0.08,0.92,0.0,0.2010895951011364
39627793830514129,0.0,0.03,0.97,0.0,0.0971959289157881
39627799887087408,0.0,0.0,1.0,0.0,-0.0
39627781738335417,0.0,0.04,0.96,0.0,0.12114609454120741
39627781763501870,0.0,0.29,0.71,0.0,0.43436062316970225
39627793830511745,0.0,0.79,0.21,0.0,0.37074136996563684
39627781738335530,0.0,0.81,0.19,0.0,0.3507357299419487
39627781767693445,0.0,0.55,0.45,0.0,0.49638722699390414
39627793830511836,0.0,0.8,0.2,0.0,0.36096404744368116
39627817998092020,0.0,0.58,0.42,0.0,0.49072694751682683
39627811970876725,0.0,0.29,0.71,0.0,0.43436062316970225
39627811970876517,0.03,0.97,0.0,0.0,0.0971959289157881
39627769679710842,0.0,0.06,0.92,0.02,0.2335407200795017
39627775711118106,0.0,0.01,0.98,0.01,0.08072027127091033
39627769675515164,0.0,0.01,0.99,0.0,0.04039656794795559
39627799887086765,0.0,0.92,0.08,0.0,0.2010895951011364
39627769679709100,0.0,0.26,0.74,0.0,0.4133731862463089
39627799874507690,0.0,0.2,0.8,0.0,0.36096404744368116
39627763648299119,0.0,0.8,0.2,0.0,0.36096404744368116
39627781767693079,0.0,0.64,0.36,0.0,0.4713415946277461
39627751564513525,0.0,0.56,0.44,0.0,0.4947937606110278
39627805914302496,0.0,0.17,0.83,0.0,0.32885238937210975
39627787778130921,0.0,0.21,0.79,0.0,0.37074136996563684
39627775727898404,0.0,0.92,0.08,0.0,0.2010895951011364
39627769658741583,0.0,0.83,0.17,0.0,0.32885238937210975
39627769658740330,0.0,0.69,0.31,0.0,0.4465867291889284
39627769658739284,0.0,0.63,0.37,0.0,0.47533604634353294
