TARGETID,r,type,p_void,p_sheet,p_filament,p_knot,H
39627927041607315,-0.391304347826087,sheet,0.0,1.0,0.0,0.0,-0.0
39627933052046333,-0.23076923076923078,sheet,0.0,0.98,0.02,0.0,0.07072027127091034
39627939028929970,0.3333333333333333,filament,0.0,0.34,0.66,0.0,0.46240935248651505
39627914995567906,-0.09090909090909091,filament,0.0,0.2,0.8,0.0,0.36096404744368116
39627939045705880,0.38461538461538464,filament,0.0,0.27,0.73,0.0,0.42073231810408784
39627939045705311,0.38461538461538464,filament,0.0,0.04,0.96,0.0,0.12114609454120741
39627939045705541,0.2727272727272727,filament,0.0,0.06,0.94,0.0,0.16372245957723813
39627939045705319,0.5,filament,0.0,0.03,0.97,0.0,0.0971959289157881
39627914982983116,0.2,filament,0.0,0.09,0.91,0.0,0.21823490853205144
39627939045705910,-0.06666666666666667,sheet,0.0,0.72,0.28,0.0,0.4277254052800653
39627902949528349,0.8,filament,0.0,0.0,0.91,0.09,0.21823490853205144
39627914982982203,-0.17647058823529413,sheet,0.0,0.82,0.18,0.0,0.34003852286413994
39627939041513696,0.4666666666666667,filament,0.0,0.06,0.94,0.0,0.16372245957723813
39627914991375601,0.2727272727272727,filament,0.0,0.06,0.94,0.0,0.16372245957723813
39627939041513712,0.5,filament,0.0,0.01,0.99,0.0,0.04039656794795559
39627884867881961,-0.16666666666666666,sheet,0.0,0.81,0.19,0.0,0.3507357299419487
39627884872077002,-0.06666666666666667,sheet,0.0,0.99,0.01,0.0,0.04039656794795559
39627927003858293,-0.14285714285714285,filament,0.0,0.33,0.67,0.0,0.4574631863898637
39627902920167413,0.17647058823529413,filament,0.0,0.2,0.8,0.0,0.36096404744368116
39627902945329793,-0.23076923076923078,sheet,0.0,0.86,0.14,0.0,0.292119405821428
39627890890903844,0.1,sheet,0.0,0.88,0.12,0.0,0.2646804326436822
39627902945329751,-0.17647058823529413,filament,0.0,0.49,0.51,0.0,0.49985572087640495
39627890869928428,0.09090909090909091,sheet,0.0,0.71,0.29,0.0,0.43436062316970225
39627914978788707,-0.2,filament,0.0,0.27,0.73,0.0,0.42073231810408784
