TARGETID,r,type,p_void,p_sheet,p_filament,p_knot,H
39633153949699304,0.09090909090909091,filament,0.0,0.31,0.69,0.0,0.4465867291889284
39633136455255927,0.5555555555555556,filament,0.0,0.01,0.99,0.0,0.04039656794795559
39633136459452333,0.42857142857142855,filament,0.0,0.01,0.95,0.04,0.16124668093016215
39633145217157280,-0.44,sheet,0.0,1.0,0.0,0.0,-0.0
39633153953890554,0.0,filament,0.0,0.31,0.69,0.0,0.4465867291889284
39633153953890766,-0.06666666666666667,sheet,0.0,0.56,0.44,0.0,0.4947937606110278
39633118671407759,-0.4,sheet,0.0,0.65,0.35,0.0,0.4670340276877455
39633149612788005,0.3333333333333333,filament,0.0,0.17,0.83,0.0,0.32885238937210975
39633149600202943,0.3333333333333333,filament,0.0,0.04,0.95,0.01,0.16124668093016215
39633123134147035,0.25,filament,0.0,0.12,0.88,0.0,0.2646804326436822
39633145217157484,-0.38461538461538464,sheet,0.0,0.8,0.2,0.0,0.36096404744368116
39633153953890504,-0.3684210526315789,sheet,0.0,0.94,0.06,0.0,0.16372245957723813
39633132005101182,0.0,filament,0.0,0.1,0.9,0.0,0.2344977967946406
39633153953890470,0.0,sheet,0.0,0.81,0.19,0.0,0.3507357299419487
39633153953890957,-0.07692307692307693,sheet,0.0,0.65,0.35,0.0,0.4670340276877455
39633127592692040,-0.09090909090909091,sheet,0.0,0.81,0.19,0.0,0.3507357299419487
39633127592691978,0.2857142857142857,filament,0.0,0.06,0.94,0.0,0.16372245957723813
39633153953891132,0.2727272727272727,filament,0.0,0.09,0.91,0.0,0.21823490853205144
39633132042847230,0.058823529411764705,filament,0.0,0.34,0.66,0.0,0.46240935248651505
39633132042847232,0.06666666666666667,filament,0.0,0.17,0.83,0.0,0.32885238937210975
39633153949699381,0.4117647058823529,filament,0.0,0.23,0.77,0.0,0.38900565177326885
39633127592691860,-0.05263157894736842,filament,0.0,0.24,0.76,0.0,0.39752013969226113
39633158248860392,0.25,filament,0.0,0.0,0.99,0.01,0.04039656794795559
39633132005099923,0.3,filament,0.0,0.47,0.53,0.0,0.4987007942838698
39633153953893357,0.7647058823529411,filament,0.0,0.01,0.99,0.0,0.04039656794795559
39633127588499243,-0.058823529411764705,sheet,0.0,0.69,0.31,0.0,0.4465867291889284
39633136455255382,0.23076923076923078,filament,0.0,0.01,0.99,0.0,0.04039656794795559
39633145204574769,0.47368421052631576,filament,0.0,0.04,0.96,0.0,0.12114609454120741
39633158248859118,0.4117647058823529,filament,0.0,0.09,0.91,0.0,0.21823490853205144
39633145217158778,0.17647058823529413,filament,0.0,0.25,0.75,0.0,0.4056390622295664
39633140821525878,-0.375,sheet,0.0,0.92,0.08,0.0,0.2010895951011364
39633158253054586,0.38461538461538464,filament,0.0,0.04,0.96,0.0,0.12114609454120741
39633145221349598,0.14285714285714285,filament,0.0,0.26,0.74,0.0,0.4133731862463089
39633136430090550,-0.23076923076923078,sheet,0.0,0.55,0.45,0.0,0.49638722699390414
39633127588496666,0.5714285714285714,filament,0.0,0.03,0.97,0.0,0.0971959289157881
39633149600204690,0.0,filament,0.0,0.36,0.64,0.0,0.4713415946277461
39633140821526161,0.3333333333333333,filament,0.0,0.33,0.67,0.0,0.4574631863898637
39633132000906133,0.3333333333333333,filament,0.0,0.48,0.52,0.0,0.4994227679976009
39633145204573121,0.16666666666666666,filament,0.0,0.17,0.83,0.0,0.32885238937210975
39633153945505553,0.7777777777777778,filament,0.0,0.0,0.92,0.08,0.2010895951011364
39633149612785871,-0.16666666666666666,sheet,0.0,0.78,0.22,0.0,0.38008375148098283
39633153949696082,0.2,filament,0.0,0.36,0.64,0.0,0.4713415946277461
39633149587621116,0.0,sheet,0.0,0.74,0.26,0.0,0.4133731862463089
39633132000906090,-0.2,sheet,0.0,0.98,0.02,0.0,0.07072027127091034
39633149587621385,0.17647058823529413,filament,0.0,0.04,0.96,0.0,0.12114609454120741
39633123134145106,-0.23076923076923078,sheet,0.0,0.64,0.36,0.0,0.4713415946277461
39633153953890640,-0.2,sheet,0.0,0.89,0.11,0.0,0.249957979082264
39633136430090410,0.125,filament,0.0,0.44,0.56,0.0,0.4947937606110278
39633145217157671,0.09090909090909091,filament,0.0,0.12,0.88,0.0,0.2646804326436822
39633153945505162,0.23809523809523808,filament,0.0,0.16,0.84,0.0,0.3171547773202831
39633153945505117,0.29411764705882354,filament,0.0,0.08,0.92,0.0,0.2010895951011364
39633127584305200,-0.047619047619047616,filament,0.0,0.31,0.69,0.0,0.4465867291889284
39633114170917339,0.75,filament,0.0,0.0,0.78,0.22,0.38008375148098283
39633127592691034,0.0,filament,0.0,0.14,0.85,0.01,0.33142210248480686
39633132009292545,0.2222222222222222,filament,0.0,0.13,0.87,0.0,0.2787190925139945
39633114170918623,0.45454545454545453,filament,0.0,0.17,0.83,0.0,0.32885238937210975
39633127567523994,0.1111111111111111,sheet,0.0,0.76,0.24,0.0,0.39752013969226113
39633145217159611,0.058823529411764705,filament,0.0,0.03,0.97,0.0,0.0971959289157881
39633153949698200,0.375,filament,0.0,0.07,0.93,0.0,0.18296182545011158
39633123134147754,0.0,filament,0.0,0.47,0.53,0.0,0.4987007942838698
39633153949698146,0.2,filament,0.0,0.01,0.98,0.01,0.08072027127091033
39633149604397938,0.0,filament,0.0,0.39,0.61,0.0,0.4823997742525436
39633158257247661,0.06666666666666667,sheet,0.0,0.67,0.33,0.0,0.4574631863898637
39633153953893356,0.45454545454545453,filament,0.0,0.02,0.98,0.0,0.07072027127091034
39633153945504831,0.0,filament,0.0,0.42,0.58,0.0,0.49072694751682683
39633132042848003,0.2,filament,0.0,0.01,0.99,0.0,0.04039656794795559
39633132005099095,-0.17647058823529413,sheet,0.0,0.82,0.18,0.0,0.34003852286413994
39633145217158026,0.45454545454545453,filament,0.0,0.17,0.83,0.0,0.32885238937210975
39633132005098650,0.09090909090909091,filament,0.0,0.2,0.8,0.0,0.36096404744368116
39633127580107202,0.06666666666666667,sheet,0.0,0.63,0.37,0.0,0.47533604634353294
39633132005098430,-0.2727272727272727,sheet,0.0,0.63,0.37,0.0,0.47533604634353294
39633136425897554,0.0,sheet,0.0,0.86,0.14,0.0,0.292119405821428
39633136425897585,0.375,filament,0.0,0.03,0.97,0.0,0.0971959289157881
39633145217158265,0.3333333333333333,filament,0.0,0.47,0.53,0.0,0.4987007942838698
39633149600204626,-0.06666666666666667,filament,0.0,0.33,0.67,0.0,0.4574631863898637
39633132005099135,0.2,sheet,0.0,0.82,0.18,0.0,0.34003852286413994
39633132042846901,0.2,filament,0.0,0.4,0.6,0.0,0.4854752972273343
39633153928726905,-0.12,sheet,0.0,0.93,0.07,0.0,0.18296182545011158
39633123146727897,-0.2857142857142857,sheet,0.0,0.93,0.07,0.0,0.18296182545011158
