TARGETID,r,type,p_void,p_sheet,p_filament,p_knot,H
39627872951862698,-0.7142857142857143,sheet,0.0,1.0,0.0,0.0,-0.0
39627866920456522,-0.3333333333333333,sheet,0.0,0.99,0.01,0.0,0.04039656794795559
39627866920456819,0.2,sheet,0.0,0.55,0.45,0.0,0.49638722699390414
39627878949717744,-0.7142857142857143,sheet,0.0,1.0,0.0,0.0,-0.0
39627830652309734,-0.2,sheet,0.0,0.83,0.17,0.0,0.32885238937210975
39627836700494707,-0.09090909090909091,sheet,0.0,0.64,0.36,0.0,0.4713415946277461
39627836704686192,-0.2,sheet,0.0,0.56,0.44,0.0,0.4947937606110278
39627836700497214,-0.06666666666666667,filament,0.0,0.28,0.72,0.0,0.4277254052800653
39627878962300913,0.0,filament,0.0,0.22,0.78,0.0,0.38008375148098283
39627830660694368,0.16666666666666666,sheet,0.0,0.51,0.49,0.0,0.49985572087640495
39627878958105525,-0.125,filament,0.0,0.3,0.7,0.0,0.44064544961534635
39627830652309936,-0.047619047619047616,sheet,0.0,0.81,0.19,0.0,0.3507357299419487
39627830664889176,0.23076923076923078,filament,0.0,0.18,0.82,0.0,0.34003852286413994
39627818581099330,-0.2727272727272727,sheet,0.0,0.64,0.36,0.0,0.4713415946277461
39627872939279529,0.3333333333333333,filament,0.0,0.13,0.87,0.0,0.2787190925139945
39627830652309991,-0.125,filament,0.0,0.22,0.78,0.0,0.38008375148098283
39627818602070189,-0.07692307692307693,sheet,0.0,0.98,0.02,0.0,0.07072027127091034
39627860863879769,-0.16666666666666666,filament,0.0,0.47,0.53,0.0,0.4987007942838698
39627812545496619,-0.07692307692307693,sheet,0.0,0.6,0.4,0.0,0.4854752972273343
39627836721467373,-0.6363636363636364,sheet,0.0,1.0,0.0,0.0,-0.0
39627836700496235,-0.17647058823529413,sheet,0.0,0.85,0.15,0.0,0.3049201523582002
39627824620896600,0.7777777777777778,filament,0.0,0.04,0.96,0.0,0.12114609454120741
39627824620896588,0.4,filament,0.0,0.19,0.81,0.0,0.3507357299419487
39627872939279498,1.0,filament,0.0,0.12,0.87,0.01,0.30414992414989617
39627830664888959,0.2857142857142857,filament,0.0,0.48,0.52,0.0,0.4994227679976009
39627872939279591,0.058823529411764705,filament,0.0,0.24,0.76,0.0,0.39752013969226113
39627866886900138,0.5384615384615384,filament,0.0,0.19,0.8,0.01,0.38960374315527674
39627842752877018,0.2,sheet,0.0,0.61,0.39,0.0,0.4823997742525436
39627842752876618,0.2,filament,0.0,0.09,0.91,0.0,0.21823490853205144
39627860863879933,-0.3333333333333333,sheet,0.0,0.73,0.27,0.0,0.42073231810408784
39627818597880454,-0.38461538461538464,sheet,0.0,0.96,0.04,0.0,0.12114609454120741
39627824633480664,0.75,filament,0.0,0.0,0.66,0.34,0.46240935248651505
39627824633480727,0.38461538461538464,filament,0.0,0.0,0.98,0.02,0.07072027127091034
39627824633480960,-0.1,sheet,0.0,0.81,0.19,0.0,0.3507357299419487
39627824633481097,0.058823529411764705,filament,0.0,0.48,0.52,0.0,0.4994227679976009
39627824616702432,0.2857142857142857,filament,0.0,0.11,0.88,0.01,0.28950944366190023
39627872926700460,-0.2857142857142857,filament,0.0,0.34,0.66,0.0,0.46240935248651505
39627872926700235,0.23809523809523808,filament,0.0,0.48,0.52,0.0,0.4994227679976009
39627830643918504,0.07692307692307693,sheet,0.0,0.51,0.49,0.0,0.49985572087640495
39627866895291041,0.625,filament,0.0,0.02,0.98,0.0,0.07072027127091034
39627872926699895,0.3333333333333333,filament,0.0,0.04,0.96,0.0,0.12114609454120741
39627836725660816,0.2727272727272727,filament,0.0,0.44,0.56,0.0,0.4947937606110278
39627830656500110,0.5789473684210527,filament,0.0,0.06,0.94,0.0,0.16372245957723813
39627866895290521,0.23076923076923078,filament,0.0,0.08,0.92,0.0,0.2010895951011364
39627848763311191,0.5652173913043478,filament,0.0,0.13,0.87,0.0,0.2787190925139945
39627818597877603,-0.06666666666666667,filament,0.0,0.4,0.6,0.0,0.4854752972273343
39627830643918138,0.0,sheet,0.0,0.79,0.21,0.0,0.37074136996563684
39627854803110148,0.06666666666666667,filament,0.0,0.07,0.93,0.0,0.18296182545011158
39627854803110076,0.0,sheet,0.0,0.63,0.37,0.0,0.47533604634353294
39627854803109730,-0.125,sheet,0.0,0.98,0.02,0.0,0.07072027127091034
39627836713078434,0.2,filament,0.0,0.17,0.83,0.0,0.32885238937210975
39627836713078710,0.3333333333333333,filament,0.0,0.11,0.89,0.0,0.249957979082264
39627860847100594,-0.06666666666666667,sheet,0.0,0.82,0.18,0.0,0.34003852286413994
39627836721464914,0.5,filament,0.0,0.02,0.95,0.03,0.1674722434193448
39627836721464791,0.07692307692307693,filament,0.0,0.11,0.89,0.0,0.249957979082264
39627830643917500,-0.1,sheet,0.0,0.85,0.15,0.0,0.3049201523582002
39627854803110319,0.125,sheet,0.0,0.85,0.15,0.0,0.3049201523582002
39627830643917827,-0.3333333333333333,sheet,0.03,0.97,0.0,0.0,0.0971959289157881
39627836713077946,0.2222222222222222,sheet,0.0,0.77,0.23,0.0,0.38900565177326885
39627818597877587,-0.16666666666666666,sheet,0.0,0.84,0.16,0.0,0.3171547773202831
39627830673277402,0.09090909090909091,filament,0.0,0.33,0.67,0.0,0.4574631863898637
39627830673277366,0.06666666666666667,sheet,0.0,0.72,0.28,0.0,0.4277254052800653
39627830673277330,-0.3333333333333333,filament,0.0,0.33,0.67,0.0,0.4574631863898637
39627836725660888,-0.5294117647058824,filament,0.0,0.28,0.72,0.0,0.4277254052800653
39627872943477399,0.38461538461538464,filament,0.0,0.0,0.97,0.03,0.0971959289157881
39627854807306555,-0.2,sheet,0.0,0.71,0.29,0.0,0.43436062316970225
39627836721464723,0.0,filament,0.0,0.09,0.91,0.0,0.21823490853205144
39627836692103713,0.3333333333333333,filament,0.0,0.14,0.86,0.0,0.292119405821428
39627836692103204,-0.2,filament,0.0,0.47,0.53,0.0,0.4987007942838698
39627866899484618,1.0,filament,0.0,0.04,0.95,0.01,0.16124668093016215
39627830677471790,0.3,filament,0.0,0.2,0.8,0.0,0.36096404744368116
