N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
26,-3119.5792316923075,-883.733894576923,1790.7916613076923,7.549020299898534,14.982602638279461,13.313572755702198,8.830119619047585,102.99474789485484,90.60328934802979,70.96778088933517,[ 0.9852323  -0.13704506 -0.10264488],[ 0.01112654 -0.54697017  0.83707815],[-0.17086111 -0.82585851 -0.53736784]
9,-2917.9165292222224,-793.7563823333334,1661.242309888889,9.95101826759525,5.404769041983931,11.418560484985841,4.233459769004569,47.05022053525933,46.0585157670091,17.88883926017328,[ 0.6797055   0.61717769 -0.39634849],[-0.36611017  0.75370687  0.54579236],[-0.63558145  0.22587086 -0.73825374]
40,-2744.5096586500003,-675.5479266,1552.682228825,8.758816785737343,9.394776815824343,13.168357755383068,8.064690798275254,108.80310397711959,104.067708195219,66.3516735754316,[ 0.65576748 -0.74206908  0.13893342],[-0.66782583 -0.48434473  0.56517152],[0.35210464 0.46340443 0.81319042]
11,-3734.7453481818175,-1008.6611300909091,2137.026962727273,15.786786798220911,10.86798853746163,11.239394848853745,10.093238922353564,70.65549498724418,62.79817866600174,43.87146656574716,[ 0.49437361  0.51713593 -0.69868818],[-0.08443046  0.82855003  0.55351273],[-0.86513943  0.21465152 -0.45327529]
42,-2498.0593460238097,-618.8396820952381,1397.9119323809525,14.385161775891481,15.786741387679815,23.269509088970416,16.292705213437937,201.1056582726478,181.46141607180274,102.12098770030748,[-0.59848301 -0.76309395  0.24393791],[-0.73120366  0.39588517 -0.55553231],[ 0.32735195 -0.51084494 -0.79490764]
21,-3039.445847285714,-782.7111347619046,1594.231354666667,8.276970400883688,16.78752284543255,5.524690558992816,11.39760142382359,86.90970350997335,85.76872909941528,32.95733611287317,[-0.77374851  0.25746642 -0.57881283],[-0.50534994  0.30011888  0.8090427 ],[-0.38201399 -0.91849861  0.1021059 ]
28,-2789.6100863571432,-726.7822122857141,1477.407457785714,14.147712272058364,14.248127249945957,10.584237773118,12.499864498569648,116.40378747405607,103.77722742656387,67.31457729076298,[ 0.65098443 -0.41486472 -0.63569375],[ 0.27384516 -0.6526987   0.70639454],[0.70797465 0.6339335  0.31128799]
6,-2791.349401,-791.7274785,1480.9686824999999,1.7953207414447196,1.8607398603590253,1.7789095618219866,1.8855369839892984,7.214043040287521,6.8045965236977715,4.45596595850397,[ 0.32657439 -0.5180915   0.79052537],[-0.78921805 -0.60969346 -0.07354426],[ 0.52008081 -0.59987922 -0.60799743]
9,-2607.0831434444444,-717.2469304444444,1487.2367565555558,3.0650507657524146,5.336225672076118,2.7892417715199973,3.1750592551493138,19.380344082661182,17.897634213424038,11.214799946469643,[-0.70447343 -0.11309112 -0.70066225],[-0.62722879 -0.36276353  0.68919276],[ 0.33211629 -0.92499353 -0.18462326]
18,-2797.965198111111,-655.8809331666666,1536.1784793333331,5.542329681030422,6.057225655911643,9.288216147846025,5.6011541010657275,48.45818070877763,44.918160009837024,34.155301039357624,[ 0.80485997  0.55956288 -0.19771143],[ 0.57488238 -0.81783409  0.02564457],[0.1473454  0.13430111 0.97992477]
