N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
569,-1408.3938595711775,-2082.83820331283,2380.6659936203864,226.34421537360953,324.8217150906842,385.4601803788487,546.8046540186906,13118.507808109307,13104.10015955821,1908.3836961806878,[0.1313536  0.72109761 0.68026794],[-0.90621555  0.36553884 -0.21249643],[-0.40189502 -0.58855721  0.70148471]
18,-1673.1418559444444,-2640.7075483333338,2940.0829076111113,15.166660449011776,36.13626137136522,24.08135501128031,32.131175309227174,187.72335054337128,163.98298941218212,118.4786633845046,[ 0.92841675 -0.03480983  0.36990622],[-0.35613204  0.2003676   0.91270083],[ 0.10588819  0.97910219 -0.17362774]
10,-1509.4942265999998,-2173.3907527,2491.7720788,16.665917522828238,13.085611021020084,31.7663172524281,16.879430532033503,117.63335028944417,111.13019709923053,54.53597786258575,[-0.71509046 -0.61433915  0.33351618],[-0.59093813  0.78613898  0.18104592],[0.37341367 0.06762322 0.92519692]
28,-1565.7667642142856,-2448.307233392857,2684.1156137857142,36.4000261503453,43.58080510508898,72.79764688724616,82.09329654827397,474.03321680506366,463.3177144023251,194.8306279520214,[-0.13341706  0.88877397  0.43849826],[-0.95240114  0.0073914  -0.30475799],[-0.27410208 -0.45828616  0.8454832 ]
8,-1239.708064125,-1874.5223070000002,2168.4674771249997,22.187710372800552,13.498938239215967,24.461341028573806,13.839670181968105,99.91589294507357,82.74707191899421,59.46179367674328,[-0.23940215 -0.89715626  0.37121053],[ 8.40519625e-01 -1.19672943e-04  5.41781086e-01],[-0.48601787  0.44171329  0.75410609]
5,-1657.5392046000002,-2563.0088166,2892.2907222000003,19.734037828207963,18.77497561992564,14.10314831782319,14.993823412698458,67.55462966424854,62.77879419691428,30.058318652119528,[ 0.50146724 -0.73697019  0.45321689],[ 0.5542286  -0.12861262 -0.8223682 ],[0.66435026 0.66357647 0.34395495]
11,-1775.2469871818184,-2644.4137830000004,3010.050990818182,25.11843536090455,29.52480591198989,29.87882606791927,33.86025290668367,154.3638982465679,143.2332647916546,91.40400053736073,[-0.00876958  0.71125036  0.70288407],[ 0.95336068  0.21802757 -0.20872804],[-0.301706    0.66827158 -0.67999014]
11,-1677.6432559090908,-2522.7370756363634,2750.0960288181823,29.279052180555826,21.80124916164409,32.522177664732844,28.994003230698436,158.91385005603283,140.70221896196264,86.80299923381699,[-0.40815613  0.68937794  0.59847024],[-0.72110224 -0.64547753  0.25173461],[ 0.55983938 -0.3288112   0.76056759]
