N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
107,-2507.6385493644857,-1568.912143009346,-10.09642736448598,36.65174595584631,26.60877355578241,23.19693039020396,43.01976631654045,510.9824458438331,502.6732041708923,200.9084781250788,[-0.63385135  0.43031149 -0.64270094],[-0.14207051  0.75203551  0.64362922],[-0.76029497 -0.49927409  0.41554415]
27,-2407.4495337037038,-1520.3063898888888,13.863299592592591,7.846206449202287,14.669026159761321,14.570265596452106,9.893841034195589,113.47668277536359,90.01264565408411,73.67975276054176,[-0.88972454  0.06331035 -0.45208632],[-0.28486531 -0.85085465  0.44147267],[-0.35670996  0.52157278  0.77506118]
38,-3189.983848026316,-1989.0590327105265,-3.3571089210526317,8.453262680866409,15.481789131877722,13.595955542107978,8.677790667555342,131.18578281990793,106.59630031135319,95.51450926972207,[ 0.91136562  0.2648142  -0.31509703],[ 0.36146479 -0.14877986  0.92043889],[-0.1968652   0.95275285  0.23131386]
18,-3142.7620757222226,-1976.9677083333331,-20.90303683333333,6.81809784776221,11.027277382856848,13.451503864755809,2.989819285596203,78.48382368607818,72.26486279406447,34.3972152893169,[ 0.90427089  0.40286773 -0.14139222],[-0.21874887  0.72154864  0.65689915],[-0.36666483  0.56308539 -0.74060229]
6,-3199.1476151666666,-2015.0341516666667,-84.20199483333334,2.1729854938399376,10.609697249825134,4.106651517680893,4.305126961877758,28.301557510381887,27.218300868302663,8.246907350866731,[ 0.94011553  0.22455502 -0.25643291],[ 0.30051316 -0.19100823  0.93445583],[-0.16085595  0.9555579   0.24705154]
24,-2579.337708416667,-1679.0653310833331,-79.06806908333334,3.960631673089792,13.47394898610479,10.240980110036217,9.645663258292336,83.64767272001149,73.17153854614425,46.37185079590067,[-0.98725065  0.14019437  0.07537707],[ 0.00433136 -0.44971645  0.89316088],[-0.15911443 -0.88210014 -0.44337562]
5,-2274.394042,-1511.2274659999998,-45.152635200000006,11.229747136282818,5.126224030646045,7.1341702022727045,7.1919541986562585,31.782154153117023,30.12524721213955,10.73228485072927,[0.53001929 0.6621265  0.52978114],[ 0.15602418 -0.69023246  0.70656606],[-0.83350825  0.29183497  0.46914426]
5,-3475.268412,-2267.602163,-123.69569259999999,8.124315226859158,2.9402129154332717,3.2458105505001758,5.298077885845077,20.594322791534037,19.278050556232774,7.488457500806155,[ 0.32601916  0.92860028 -0.1772372 ],[0.04724278 0.17124298 0.98409551],[-0.94418199  0.32920717 -0.01195883]
7,-2923.4333075714285,-1793.968435142857,-46.26632485714286,2.6772270069731006,3.320812720733295,6.027026220685798,2.6728988086171572,18.3658100612689,17.93765589759966,10.208963445085072,[0.79043006 0.58044015 0.19572824],[ 0.61254909 -0.74795525 -0.25562973],[ 0.00198179 -0.32195058  0.9467544 ]
10,-2650.5793673,-1788.6649754999999,-5.4137643,3.327781520724847,5.903219904543268,4.156159835602285,4.348951724519041,23.986332969036408,22.21911900535931,13.960034911386934,[ 0.60218146  0.35959991 -0.71278707],[-0.79398251  0.3631089  -0.48758968],[-0.08348212 -0.85955793 -0.50417348]
6,-2471.689413666667,-1666.2433549999998,-50.494553,3.829278757536239,5.777297083207015,2.73594471797397,5.282321725648415,17.98875929886427,16.17702183451574,9.00109294127373,[0.33539434 0.24955356 0.90842372],[ 0.87036421 -0.45110002 -0.19742066],[ 0.36052293  0.85687327 -0.36849888]
17,-2725.6765176470585,-1789.0701285882353,-58.248919588235296,4.806923955910185,12.68383644465097,7.78943829482224,4.6614533659405195,63.59920753039059,58.09749580812037,29.971908385343646,[ 0.94863831  0.22664005 -0.22072527],[0.1213896  0.38352814 0.91551665],[-0.29214709  0.89528792 -0.33631774]
61,-2959.254236180328,-1910.8995958688527,-77.16088022950821,18.08536080499545,12.16603265307893,16.21806815129425,11.844203029129318,203.8891460673901,199.04536765851563,94.13074796984773,[ 0.63537491  0.7163554  -0.28832911],[-0.31269895  0.58008403  0.75214486],[-0.70605814  0.38773376 -0.59257441]
8,-2338.3929071250004,-1506.50359525,36.461050125,11.483543042628666,2.684105070969938,5.532394255223871,10.481743871218894,36.269998673396124,34.54306114047904,14.359707375267206,[-0.0885212   0.99029316  0.10716084],[-0.29791362  0.07633668 -0.9515357 ],[-0.9504796  -0.11615576  0.28826441]
5,-3300.8949863999997,-2045.4058344,32.476297,1.1686936534392243,2.533940087380532,5.284153939565008,2.0815438553596577,13.236346887753353,13.111286513076152,3.159602479668163,[-0.91787828 -0.29422234 -0.26633189],[-0.37306921  0.86856437  0.32621358],[-0.13534707 -0.39878459  0.90700166]
5,-3857.7224014,-2503.2224548000004,-95.1168928,5.297368299552093,4.635296708966198,7.14523301157703,3.713450989237922,22.15672932287072,17.99858302684129,13.825873117049996,[-0.62802288 -0.66305355 -0.40736624],[-0.63363149  0.7395947  -0.22695995],[-0.45177252 -0.11558403  0.884614  ]
5,-3269.0932272,-2100.4893248,-61.6153728,5.357844633142668,7.711273870601465,3.6303386425119313,7.38627413513959,22.108203970006873,19.338392787029616,12.27802534740227,[ 0.4088693  -0.38059837  0.82944004],[ 0.83585778 -0.20861839 -0.50775991],[0.36628905 0.90090135 0.23282845]
23,-2484.3311590434782,-1624.6012215652172,-53.25268130434784,6.999022668423489,6.894286740961724,14.40311125056024,6.17614633739741,78.50185599455781,77.64153953337383,42.32892086246046,[0.44342855 0.88796771 0.12200188],[ 0.8709233  -0.39469301 -0.29276276],[-0.21181059  0.23607365 -0.94836992]
9,-2969.6261035555553,-1958.100378333333,-5.317911777777778,2.706168111808838,3.5338395680098524,4.954379946704392,2.4526326654697486,18.706460203660306,16.64648998583943,13.09172229182223,[ 0.87936796  0.45622853 -0.13626267],[ 0.47498917 -0.8604571   0.18438783],[0.03312519 0.22686804 0.97336202]
24,-3162.3340432083332,-2036.9426634583335,48.07920604166666,12.839681508500743,14.181184736503573,8.331350365444266,15.007715818113722,100.34548385758089,85.94585139703734,58.66929256246341,[-0.05497924 -0.45786622  0.88731945],[-0.8764782   0.44781513  0.17676983],[-0.47829201 -0.76799748 -0.4259303 ]
9,-2874.4285178888886,-1813.8673842222222,-35.843352,9.861760554567624,7.494261962132631,4.885559689623243,11.711394361069676,39.83642849970795,38.16794992939528,12.142164135730164,[0.17513823 0.3824696  0.90721751],[-0.63544505  0.74774828 -0.19256712],[-0.7520214  -0.54276101  0.37399773]
12,-2015.3302192499998,-1301.5992965833334,6.12974625,12.877549355712954,17.77221415582259,13.635935340773175,10.7564846462873,86.5155401345122,81.42881895707495,43.67295848848909,[ 0.40270411 -0.39915225  0.82371529],[-0.82433492 -0.54931975  0.13682015],[ 0.39787101 -0.73411531 -0.55024846]
26,-2322.928666576923,-1460.0516320000002,-57.75157776923077,12.121640366310753,18.127329562689013,12.65446934195883,17.503438442892143,120.79439628058314,109.97676660570404,79.80386040700411,[ 0.82394513 -0.4385084   0.35892172],[-0.36341022  0.07709112  0.92843415],[0.43479585 0.89541462 0.09583958]
13,-2619.586860307692,-1629.5300292307693,-41.83865253846154,4.868845252446544,7.742109381322393,6.971321200446171,4.934587634694408,38.62378151062789,32.59629912071438,29.733159815383882,[ 0.90938032  0.28143306 -0.30630518],[ 0.36956099 -0.2086404   0.90547991],[-0.19092434  0.93662405  0.29374015]
