N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
683,-2774.135339942899,-2319.447617796486,-44.87426415959004,338.2388945853975,293.2966628291585,62.141473218460284,444.2724463146351,11721.48064304397,11700.762800311359,2181.568885255252,[-0.65159156  0.75332139  0.0890804 ],[ 0.049155   -0.0752545   0.99595208],[-0.75697571 -0.65333272 -0.01200568]
6,-3488.393442166667,-2911.8886528333333,-46.300069,19.32611498209062,36.856010627534204,13.873173344119191,21.810849140498583,105.51288099628668,98.99838841464204,46.45752011175034,[ 0.25426399 -0.21049579  0.94394986],[ 0.92693995  0.33149776 -0.17575994],[-0.27592054  0.91967427  0.2794049 ]
15,-3387.6860389333337,-2739.5519785333336,15.660410133333334,35.053708007035404,23.955775173301276,20.483631131314034,36.787803731421405,170.38789162264476,165.7009474977398,100.88500875918541,[0.27133783 0.1852334  0.94449159],[-0.43939074  0.89692156 -0.04967382],[-0.85633613 -0.40152247  0.32475859]
10,-2645.4490804,-2222.7285888,-57.93292879999999,17.056036521535916,11.280552377937138,23.316332217236823,10.405972823071938,95.88621703511423,93.49873148557991,36.05596247613585,[ 0.79242292  0.4467002  -0.41536112],[-0.24644612  0.85736101  0.45188096],[-0.55796974  0.2557167  -0.78948004]
30,-2181.4028563333336,-1796.3515294333333,-6.863113533333334,26.756472057188887,27.2259947994033,23.45126852242437,21.786095373332756,220.03337628405495,203.28794422538846,175.1766541470692,[-0.59969497 -0.54868106 -0.58250754],[-0.39667918 -0.42836958  0.81187754],[ 0.69499034 -0.71794749 -0.03924073]
8,-3510.3497735,-3031.284709,0.029024999999999856,10.168077605617807,27.303247794936087,28.60468978382252,16.899013317434136,112.3236736560965,102.03130224524905,60.385200323636134,[ 0.98902527  0.14741082 -0.00995269],[ 0.11455853 -0.722581    0.68172798],[-0.09330246  0.67538637  0.73153804]
6,-3536.8438755,-2858.769535833333,20.313408499999998,30.092007050303483,32.21655740541511,32.11719246935303,35.49760133575041,128.29532673242326,105.32545093707161,90.25659345082734,[ 0.71431645 -0.36368944 -0.59789798],[-0.09808831 -0.89795357  0.4290199 ],[-0.69291463 -0.24780917 -0.67709669]
