N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
15,-2373.8898834,-1864.6750749333332,70.37787660000001,10.846990496746017,17.2946645093919,6.885452246945359,11.758374217605333,81.3426180846469,72.77020397005074,44.866893992218536,[0.22944149 0.28872845 0.92951196],[ 0.94677366  0.15532082 -0.28194871],[-0.22577917  0.94472818 -0.23772345]
40,-2405.274448425,-1872.1333043749996,182.43048185,16.229038267737273,15.723863046752394,8.219784852694085,10.045659189545008,147.5486758783631,138.25150640584147,73.28589524403836,[0.43290006 0.1460514  0.88953164],[-0.54939454 -0.73959361  0.38880192],[ 0.71467697 -0.6570162  -0.23993027]
11,-2332.399377090909,-1782.500297090909,82.79085836363636,7.733188048491517,7.313954850125615,4.524910691351564,8.482480684673932,37.13356071723474,31.52258295738361,23.882762104163252,[-0.03027949 -0.44974078  0.89264572],[-0.75694464  0.59355091  0.27337178],[-0.65277712 -0.66740584 -0.35840129]
24,-2963.6166644166674,-2226.291491875,153.12710383333334,11.556219683046029,6.107762491378114,21.285616288450996,10.042811637443512,119.15605145687096,110.06637157254372,60.29754734754893,[ 0.01403083 -0.99431786  0.10552314],[-0.97929263  0.00765107  0.20230524],[-0.20196307 -0.10617655 -0.9736208 ]
22,-2792.6902872272726,-2186.1096352727272,211.53319127272727,6.646604576098196,18.07099380905088,11.021679895713717,12.839094104006003,99.5565433263551,97.87594016053535,46.54332715328854,[-0.99428991  0.04451324  0.09698528],[ 0.06725775 -0.44420132  0.89339889],[-0.08284907 -0.89482052 -0.43867103]
9,-2467.8542700000003,-1952.9708896666666,110.68954855555555,6.395511351574061,4.154526241785087,5.7050320012181475,4.498258585389816,27.539673871398918,25.04824342664408,15.714090940218908,[-0.58419382 -0.58299439  0.56465487],[-0.26524298  0.79465726  0.54604579],[ 0.76704872 -0.16922584  0.61886903]
7,-3143.3317085714284,-2530.217929142857,160.62018928571433,17.84627643519429,4.575488354127439,5.728267853225183,15.998071022677202,50.458841524967674,48.820100406551994,16.7878322766895,[ 0.16159033 -0.9578573   0.23748253],[ 0.12957103 -0.21796911 -0.9673163 ],[0.97831483 0.18707982 0.08888886]
27,-2836.333111666667,-2263.8256750740743,199.98264622222226,20.262988996525916,10.899421106458972,19.055446399764108,20.030110395538824,150.29841117040982,138.5478605343583,80.0604119167106,[ 0.48479216 -0.83322586 -0.26591584],[ 0.4678963   0.50393914 -0.7260292 ],[0.7389517  0.22755222 0.63416904]
88,-2879.8795343295455,-2232.721004568182,95.43245918181816,13.612128962381096,25.26452957947388,13.872593597309159,18.171886590655873,285.489244533844,263.6149168966052,166.8091445676512,[0.55106999 0.28620498 0.78384219],[ 0.83395842 -0.15636139 -0.52921118],[ 0.02890022 -0.94532419  0.32484912]
6,-3027.628334333334,-2382.569094666667,258.0526078333333,3.8751285679126832,3.5570282855093343,5.412874704578688,1.9973684845080886,18.036699810065116,17.571016757746644,7.039619348472998,[-0.66411341 -0.74760902  0.00584263],[ 0.55740245 -0.48991141  0.67029047],[ 0.49825283 -0.44840558 -0.74207584]
