N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
6712,-1690.7907721063768,-287.9128369871871,3206.437238640346,245.48855081052082,66.68369784297113,463.8938675744259,524.5778045565305,43165.77002463712,43149.92220355521,5683.05456532707,[-0.10273442  0.99363836  0.04613512],[-0.88179109 -0.06951094 -0.46648977],[-0.46031523 -0.08860609  0.88332262]
190,-1223.9570760736842,-204.75443398947368,2313.5987898894737,39.299003719710164,30.373990496868114,113.08133738562985,110.98042055513197,1678.2164853362303,1640.9310979795591,536.2824868339906,[-0.59846003 -0.80069583 -0.02705141],[-0.76611099  0.58183456 -0.2730247 ],[ 0.23434918 -0.14266999 -0.96162661]
17,-1819.4791728235296,-290.8163712941176,3315.047258470588,18.350235009108957,12.605363466927981,9.958204886922388,7.140428555631202,96.32943252645791,92.197226675725,49.429193606524606,[-0.41004778 -0.07054942  0.9093314 ],[0.36214347 0.90244934 0.23331802],[ 0.83708598 -0.42497996  0.34449833]
24,-1086.6838953333333,-173.09772166666667,2128.5883650416667,16.966617517484185,21.013649213871343,16.944413187672385,16.76126470600358,141.11018685644984,134.3776078506669,104.04375688970833,[0.3435099  0.56695532 0.7487073 ],[-0.87925133 -0.08600387  0.46853008],[ 0.33002734 -0.81924661  0.46895304]
8,-1320.608279125,-235.19917575,2390.251965375,24.16775370226586,5.338709920290636,8.920345406550204,17.08879369260459,73.89969334814359,71.70685139244834,21.712624512218053,[-0.19524505 -0.97702666 -0.08542994],[ 0.2084544  -0.12645669  0.96982239],[-0.95834552  0.17154478  0.22835555]
18,-1382.0029065,-299.36189733333333,2585.4859588888885,16.275807694041177,8.651473477504119,13.895106707252959,16.132075806298285,95.96737081789361,77.24466934250688,63.286532456716,[-0.08320405  0.88155729  0.46468681],[-0.63114769  0.31424184 -0.70915771],[-0.77118719 -0.35229081  0.53024665]
2,-1117.0633535,-172.3209395,2026.6984135,2.374620499999992,0.653830499999998,15.697433499999988,14.804049699246207,22.47112526460001,22.471125264600005,,[-0.12128537 -0.9923515   0.02298611],[0.98876988 0.00621934 0.14931656],[ 0.14944603 -0.04114863 -0.98791329]
5,-1618.546529,-282.23829179999996,2884.8567602,2.589109763872338,3.153129793330144,1.9320749193995763,1.2666368118385043,9.70652975789424,8.255411591908432,6.435663375183557,[-0.5644383  -0.07289104  0.82225075],[-0.61576594 -0.62621775 -0.47820879],[ 0.54976515 -0.77623336  0.30857746]
2,-1618.073878,-226.0929,3197.0940465,0.8286980000000312,4.812433000000013,2.3950675000000956,1.4562042917862072,7.691891845865994,7.691891845865994,6.322027276634104e-08,[ 0.98832468 -0.13640334 -0.06788566],[-0.04068769 -0.43956036  0.89729103],[-0.15236251 -0.88480287 -0.44035161]
2,-1792.5958194999998,-311.7399305,3275.6757255,3.4191584999999804,3.704797500000012,5.269634500000166,3.2791796848825925,10.313604329013252,10.313604329013252,,[ 0.88328362  0.26964514 -0.38353819],[0.22683706 0.85987089 0.45734779],[ 0.46883904 -0.50800619  0.72257848]
