N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
605,-2902.153617920661,-2132.238282328926,-32.169689957024794,389.60537601741834,286.7179834647318,56.582037098141576,480.3684167955294,11900.011525274891,11893.10153623313,1989.2626548927806,[-0.29274071  0.40085689  0.86811095],[-0.5111242   0.70169008 -0.49636992],[-8.08118143e-01 -5.89020196e-01 -5.25594053e-04]
8,-3551.71292825,-2616.82017325,-75.07926675,14.141384981003958,45.04090557223741,13.71598749726754,23.508894300487697,136.49390370329925,134.66229676378936,43.6362715376729,[ 0.18277184 -0.18753903  0.96510288],[ 0.97003122  0.19425754 -0.145957  ],[-0.16010588  0.96285675  0.21742352]
14,-2580.0065450000006,-1841.8903324999999,21.389990785714286,24.76173790714183,16.822604779559644,20.04979212734743,24.463682707959027,127.19730906993333,110.22781516161075,89.54626409234598,[ 0.38976186 -0.72251374 -0.57101628],[-0.28332964 -0.68405785  0.67215264],[0.87624768 0.10019363 0.47132922]
5,-3264.139446,-2407.0142862000002,-131.43408019999998,16.19685038891823,18.402635665816263,16.10067247867944,7.658942117515366,64.08177375956413,54.58403361942304,38.94066907510095,[-0.7203252  -0.64872874  0.24552519],[0.29710833 0.0312884  0.95433101],[ 0.62678405 -0.76037626 -0.17020489]
6,-3635.1018913333337,-2782.6202611666668,-121.75147283333335,33.73699771608296,28.49796918083239,19.84440428054988,41.05830315728257,116.26533175744595,110.46763834363537,49.07860259858267,[-0.14222496 -0.43509228  0.88908198],[-0.68547794  0.69126525  0.22863145],[-0.71406726 -0.57692899 -0.39656133]
