N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
6563,-2397.823115205851,-1860.4621673079382,2077.2028082943775,315.6982714698484,246.2261998362817,275.18877085191303,480.9121339622086,39171.265893698124,39140.18107551949,5628.292040643562,[ 0.75792258 -0.43304705  0.48787665],[-0.00087397  0.74720715  0.66459063],[ 0.65234393  0.50413463 -0.5659467 ]
399,-1734.2119044761907,-1348.2833631879698,1507.9520875438598,85.90298414366687,69.76743143071556,73.57729649859212,123.57756108683623,2576.911811651458,2549.525571651385,975.9470219305347,[-0.34859882  0.85164679  0.39137784],[-0.66570278  0.06897156 -0.7430227 ],[-0.65978684 -0.51955815  0.54290023]
27,-1821.5248062222224,-1441.727242851852,1636.2226318888888,7.3968037083818095,16.21463893905937,13.702813968891299,10.651606558795756,111.53383866872618,101.81601973363205,66.97010429066557,[-0.97290829  0.22686198 -0.04453216],[-0.16170189 -0.5300706   0.83239273],[-0.16523307 -0.81704272 -0.55239408]
3,-2016.7056873333333,-1662.774136,1767.63203,7.802489914419586,3.065663305251388,8.469440608535459,11.043278006881842,20.64038986458059,20.049094825600886,4.9050474448209815,[-0.28152433  0.95487453  0.09465027],[-0.70432849 -0.13864629 -0.69620297],[-0.65166358 -0.26266296  0.71157765]
6,-2580.219739166667,-1883.6492756666667,2145.8379913333333,2.189405002306229,3.9154015643925044,3.7336184972604376,3.108190736796006,14.139270210666092,12.329859175627188,7.537961243655059,[-0.84505418  0.11444764 -0.5222884 ],[-0.41771786 -0.75106811  0.51128121],[ 0.33375924 -0.65022952 -0.68250007]
2,-1892.2129135,-1402.954268,1600.8463195,2.0784344999999576,3.9573480000000245,1.6443044999999756,4.254504511974119,6.735611398026825,6.735611398026824,4.2146848510894035e-08,[ 0.89975785 -0.40298687  0.16744373],[0.20040567 0.28430523 0.93755432],[-0.43638952 -0.83088748  0.34523929]
7,-1932.7904221428569,-1451.4159725714285,1582.4754522857143,3.396803972635885,5.790282476096719,4.746919046672097,5.1234811729224115,20.223422366820344,17.621239722713916,15.06285304476427,[ 0.94174574 -0.25048047  0.22444265],[-0.21968064  0.04719053  0.97442982],[-0.25466721 -0.96697083 -0.01058423]
3,-1875.4978346666667,-1471.6309266666667,1572.1538653333334,5.07543207021066,3.4755640570695383,1.9472055711071816,1.145466860657847,11.17557592479252,10.419921784506425,4.039644446677272,[-0.47664315 -0.5110058   0.71532117],[0.26803194 0.69048082 0.67185945],[ 0.83723962 -0.51196613  0.19214708]
2,-1790.9730725,-1338.7759985,1467.569531,1.2542314999999462,0.2303225000000566,0.3018969999999399,1.12078887300936,1.853260320736056,1.853260320736056,0.0,[-0.13269919  0.97263046  0.19073781],[-0.2897654   0.58053003 -0.76093423],[-0.9570977  -0.17575793  0.23037607]
2,-2786.5354175,-2138.3830454999998,2526.6443915,0.08071549999999661,6.912607500000149,6.267544499999985,7.024256509127554,13.196421598333288,13.196421598333286,1.962418435672808e-08,[0.         0.67169558 0.74082727],[ 0.99996259  0.00640815 -0.00581016],[ 0.00864999 -0.74079956  0.67167045]
2,-2152.9871585,-1582.696762,1884.000272,6.091566499999999,2.3204240000000027,1.8167390000000978,6.181439997779762,9.569962440659799,9.569962440659797,1.6858739404357614e-07,[-0.43549922  0.70879148 -0.554937  ],[0.         0.61646713 0.78738064],[-0.90018911 -0.34290365  0.26847095]
7,-2317.0506255714286,-1727.1858597142857,1890.8515245714286,5.823439731979502,4.690630840999402,4.7737643770923945,6.97595074944534,23.067770499233585,19.694450831737228,13.485276830765226,[-0.56328815 -0.31267182 -0.76481553],[ 0.31579113 -0.93683058  0.15041421],[ 0.76353286  0.15679542 -0.62644455]
2,-2638.5287500000004,-1975.3306025,2145.8783144999998,0.8592869999999948,2.9868344999999863,0.4209364999999252,2.306253698220189,4.4354801354061655,4.435480135406165,,[0.04695833 0.12613874 0.99090057],[ 0.96173651 -0.27129514  0.0382338 ],[-0.27397605 -0.95232573  0.13421188]
2,-2082.86094,-1516.0120695,1717.1872595,2.5426480000000993,0.12522650000005342,4.938451499999928,4.388336948726646,7.857358811465633,7.857358811465632,4.2146848510894035e-08,[0.88913721 0.01160087 0.45749365],[ 0.         -0.99967866  0.02534929],[ 0.45764071 -0.022539   -0.88885149]
3,-2148.5205426666666,-1676.7578029999997,1975.821585,0.7615837677019202,2.0073428130742634,1.4102858514055112,2.303205370660465,4.4491598714035385,4.4345326937850755,0.3604765582653428,[0.66031236 0.25071572 0.70790481],[ 0.69185788 -0.56971811 -0.44356956],[ 0.29209633  0.78266398 -0.54965155]
