N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
6861,-3206.7270399730355,-836.4473243945488,1520.197714474858,476.0972670109967,129.55606182628242,226.96994294334112,538.7475246013582,44805.72695379564,44800.49572217224,5737.892294893372,[-0.41698625  0.77800323 -0.46992919],[0.21627369 0.5871037  0.78008649],[-0.88280698 -0.22365202  0.4130758 ]
69,-2772.9824911449277,-733.3030074347826,1384.0629388550724,18.369806645571426,16.641949589351306,19.410953743914995,22.054176109824624,246.3745803469531,220.63032493538307,165.54746788645392,[0.72262795 0.29395568 0.62561882],[ 0.12188099 -0.94507572  0.30327695],[-0.68040714  0.14290536  0.71876573]
37,-3252.2853131081083,-927.1759764324324,1528.9919418648647,23.05734649162658,13.888357177969494,20.451704596564827,18.04975966122294,201.40877078120235,181.34440070303137,105.4320111068764,[-0.0269289  -0.83860735  0.54407036],[-0.72603872  0.39052424  0.56600229],[-0.68712635 -0.37977432 -0.61937779]
28,-3202.1720726071426,-907.7977083214286,1494.1769348214286,20.38213451245634,15.550290560670899,16.16164318470778,19.839351193388634,154.08946049459965,122.63393047341327,112.47261843792606,[-0.14516688  0.70664131 -0.69252049],[0.70885806 0.56258404 0.42546381],[ 0.69025128 -0.42913548 -0.58257696]
6,-3193.0571161666667,-836.5694469999999,1421.3632111666668,11.170258826164616,5.4988860800800134,4.033233298905857,10.359382080397179,31.85955379225113,28.33689993912657,15.405899795269857,[ 0.07327167 -0.53823297  0.83960499],[0.25752063 0.82352883 0.50545365],[-0.96349073  0.17918017  0.19894743]
2,-3141.417842,-913.7772239999999,1484.015958,1.5485799999999017,1.3328449999999634,2.664745000000039,0.5923887303968058,4.748777047925035,4.748777047925035,,[ 0.88730859 -0.20630276 -0.41245925],[-0.27593797 -0.78586045  0.55342713],[-0.46117618 -0.39692903 -0.79357664]
3,-2034.6096843333332,-573.3842786666667,950.3251376666667,12.540083175203852,5.982822887950696,2.7961000950826724,11.826810320261146,24.54787352244621,21.988535219855095,10.91340521373637,[-0.12574917  0.40751249 -0.90450026],[-0.10593337  0.90100906  0.42066708],[-0.98639002 -0.14871529  0.07013197]
2,-3119.1610525,-903.6627880000001,1511.2263965,0.19418949999999313,2.8776829999999904,0.07914249999998901,0.5902967003335107,4.080449128639013,4.080449128639013,3.725290298461914e-09,[0.00100826 0.02755974 0.99961965],[ 0.9977326   0.06727731 -0.00185027],[ 0.06730274 -0.99735549  0.02742943]
2,-2535.4886295,-629.5935975,1271.3222465,0.0999495000000934,0.44079550000003564,0.2320475000000215,0.08120591586612136,0.7185215621354868,0.7185215621354868,6.969379981558661e-09,[ 0.98045905 -0.17407592 -0.0916386 ],[ 0.04664699 -0.47357927  0.87951505],[-0.19672331 -0.86758562 -0.45672216]
5,-3628.161572,-1058.4451272000001,1694.8400414,7.020583242161601,12.70196501042486,2.282336248749113,7.664712150779587,32.78401794049036,28.657086741920846,16.197381780057846,[0.21530708 0.11164    0.970144  ],[-0.97632813  0.00360579  0.2162646 ],[ 0.02064564 -0.99374217  0.10977363]
2,-3816.2901705,-1093.777875,1752.8413945,0.9722885000001042,1.9051970000000438,0.05882049999991068,1.311452964853288,3.026080100480441,3.026080100480441,0.0,[ 0.89080234 -0.4541746  -0.01402206],[-0.00563456 -0.02798562  0.99959245],[-0.45439101 -0.8903781  -0.02748928]
6,-2988.4943463333334,-802.3058753333333,1327.9783768333334,4.188668812048285,4.542311331431969,3.835040174613408,3.480185755256014,16.46364282703899,15.679707646009527,10.849704810469232,[0.21602094 0.65735255 0.72195746],[ 0.82479145  0.27286716 -0.49523991],[-0.5225457   0.70244654 -0.48323374]
11,-3555.2603309090914,-1038.170395,1708.8283933636362,10.9643996059877,6.649218031132238,16.242849937067174,11.47331858736476,67.61230265503696,57.56936959645942,39.19274862605005,[ 0.29421428 -0.92258496  0.24954949],[-0.94550725 -0.24286239  0.21687299],[0.13947757 0.29975798 0.94376436]
2,-2583.089938,-691.482895,1262.9877255000001,1.2172719999998662,0.5314449999999624,5.774007500000039,3.404901514520816,8.378943551554137,8.378943551554137,7.598131170262075e-08,[0.9786669  0.01883053 0.20458865],[-0.21304398 -0.9760095   0.04491904],[ 0.20545342 -0.08969827 -0.97454765]
5,-2441.0461878,-593.082279,1102.6951067999998,6.9661469136421275,9.027388018640748,6.740638348599334,9.22155455882726,28.64734531684541,26.381677228593304,15.424271100614742,[-0.81176199  0.58350742 -0.02369719],[0.16667588 0.27038418 0.94821493],[-0.55969779 -0.76577509  0.31674421]
2,-3584.4650305,-836.24651,1682.740567,0.5833324999998695,1.6322960000000535,5.424328999999943,1.4014344328984407,8.053323802929155,8.053323802929155,,[ 0.99473951 -0.0295179  -0.09809175],[ 0.18005933 -0.94710787  0.26564132],[-0.1024368  -0.28664129 -0.95254578]
3,-2569.300458,-733.5699123333334,1162.9774893333333,7.015343452622324,3.9608078060973586,8.4905145761749,9.972883019133075,20.27253412896359,19.22566466303615,6.4303544439227105,[0.41254873 0.70199707 0.58052017],[ 0.69610829 -0.65400289  0.2961646 ],[ 0.58756855  0.28192258 -0.75847404]
