N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
722,-926.9721602313019,-1807.2455762645432,2919.839981389197,141.59261941115656,269.66343755531614,429.82297126287654,520.8463335737166,14078.641679456736,14069.442767163251,2138.632437045755,[0.11997829 0.82732002 0.54876844],[-0.96084711  0.23582697 -0.1454595 ],[-0.24975595 -0.50983059  0.82322216]
5,-709.9000902,-1340.413006,2088.9586792,13.186890176983127,34.69312882674961,14.577380428497163,21.819161036746106,88.8741274043111,79.42627880288576,41.14521258314802,[-0.78180339 -0.14216821 -0.60710103],[-0.58777966 -0.15689224  0.79366233],[ 0.208083   -0.97732954 -0.0390953 ]
5,-789.3809245999998,-1651.6596018,2594.0756122000003,11.986466745273994,16.240070003430283,10.648878024882245,13.188431673300727,49.16732878564107,39.321155314436794,35.2783098267131,[ 0.63436735 -0.17976041  0.75184058],[-0.74889197  0.09824481  0.65536919],[0.19167387 0.97879219 0.07229783]
5,-812.1828336,-1609.4863598000002,2555.7919784000005,8.343577284601295,13.840586361517243,13.273253983499568,4.137115747943648,46.54053756370076,42.824376484436854,19.32912265089029,[-0.56997555 -0.46077018  0.68030781],[ 0.77750867 -0.570215    0.26520769],[0.26572192 0.68010712 0.68326142]
