N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
6829,-1757.4064442079368,-1251.1683567870843,2810.442076255235,278.6197718217048,201.9670011397843,442.2035772027617,556.377614567221,46139.06489099306,46135.35916512137,5552.554735114057,[-0.80811424 -0.14714447 -0.57035066],[-0.31866811  0.92356854  0.21324116],[-0.49538067 -0.35407579  0.79323914]
9,-1979.9575425555554,-1429.651696777778,3060.729268888889,6.152126581084133,5.774334385378287,3.6003986910241603,2.926280067185635,26.5108523000305,20.728889165326468,19.551683320488877,[-0.2619554  -0.36099046  0.89502249],[-0.51316538  0.83753428  0.1876103 ],[-0.81733754 -0.41014903 -0.40464443]
3,-1627.9815326666667,-1103.363147,2679.4501826666665,1.1352492865617758,1.207744233543695,0.7936135502440521,0.9153938470734254,3.183045496106536,2.923287787164824,1.2594312778778753,[-0.73907739  0.65718874  0.14787692],[-0.04033659 -0.26230824  0.96414073],[-0.67241176 -0.70660976 -0.22037484]
2,-1680.9753945,-1115.6886865000001,2593.5860615,0.9385944999999083,4.713047500000016,0.984952499999963,2.8578486318372143,6.937421394141005,6.937421394141004,,[ 0.98152475 -0.18728906  0.03914046],[-0.03120114  0.21041507  0.97711411],[-0.19133522 -0.96076846  0.20078544]
2,-1810.0601040000001,-1197.3597009999999,2812.307499,1.4455859999999348,0.7844579999999723,0.7779409999998279,1.616877418966851,2.5730470017628906,2.57304700176289,0.0,[0.29225251 0.34570496 0.89167065],[-0.60722272  0.56415725 -0.55947043],[-0.79453167 -0.43115852  0.42757661]
2,-1915.54223,-1257.4636255,2965.7650395,2.8949099999999817,6.005211499999973,1.902516500000047,4.999966911953152,9.804349861220198,9.804349861220196,,[0.10254489 0.25516283 0.96144499],[ 0.90864388 -0.39807239  0.12611368],[-0.4175719  -0.86621262  0.2744256 ]
3,-2008.5914853333334,-1461.9753206666667,3389.9064693333335,6.660664095044962,9.465808717936092,11.191122720742168,3.735745673145335,27.885867852137256,26.950712685110236,7.161055203774157,[-0.89061528  0.12670392  0.43674997],[ 0.15923729 -0.8127101   0.56048709],[-0.42596703 -0.56872525 -0.70363605]
5,-1374.1124287999999,-971.2836912,2298.640769,7.200665416569007,11.163929957470115,3.8070808022521185,3.3786396366696563,30.869511596852245,30.074407556611675,7.236784617915994,[-0.50774326 -0.04195473  0.86048625],[-0.69458928 -0.57094022 -0.43769052],[ 0.5096494  -0.81991894  0.26074974]
2,-1418.593603,-1020.281297,2402.6776075,2.1634030000000166,2.2245189999999866,1.955893500000002,1.8508649216869344,5.187353218185989,5.187353218185989,5.960464477539063e-08,[ 0.26724839 -0.47651541  0.83756275],[0.80754753 0.44293888 0.38945106],[ 0.58980249 -0.60646438 -0.53322976]
5,-1573.335554,-1215.7032036,2523.7893526,9.210101797389479,1.6273521470884933,12.305650524528376,6.132676748483195,34.45622335689038,33.494007135928484,8.94164456718191,[ 0.23251299 -0.96474592 -0.12330054],[-0.77795612 -0.26056708  0.57174215],[-0.58371396 -0.03701507 -0.81111522]
4,-1669.6421157500001,-1196.78369725,2831.49751225,3.4865741185819354,1.7250886479341616,2.723719554349079,1.3921789073449506,9.495162869670672,7.891339929934722,5.289126704416086,[-0.40590998 -0.7740689   0.48585433],[-0.31289669  0.61719799  0.72191572],[ 0.85868082 -0.14101058  0.49273042]
3,-1543.4237206666667,-1207.8093316666666,2525.658436333333,3.8985350421333544,3.3305271466281425,2.726551184845906,1.2839093332737535,10.058588555968475,9.28668504473822,3.8642831958974515,[ 0.60334925 -0.0888383  -0.79251337],[ 0.36019756 -0.85627318  0.37020799],[0.71149659 0.50882609 0.48463245]
3,-1500.7232126666665,-1158.3794023333335,2506.4867776666665,1.0832042498982,1.111635694714254,1.5327884172617185,1.1083507652231221,3.778295527159854,2.6893364507392343,2.6538625709108303,[-0.71184338 -0.69075351  0.12703776],[-0.50144923  0.62649903  0.59669727],[ 0.49175976 -0.36105202  0.792347  ]
2,-1535.92534,-1110.8302615,2472.6191875,1.0426860000000033,2.255480499999976,2.9347705000000133,1.0109260380102114,5.438246825613283,5.438246825613283,,[-0.01588855 -0.79005419  0.61283108],[ 0.9625371  -0.16522939 -0.21499204],[-0.27115001 -0.58653666 -0.76318571]
