N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
636,-2995.054201616352,-1731.2157948160377,309.96425785691815,439.3152860891561,259.6047549767121,74.8525356350387,509.7039388852083,12935.596173109587,12922.13083616876,2008.7559815263442,[ 0.13102169 -0.02212392  0.99113261],[-0.49290135  0.86597339  0.08448869],[-0.86016369 -0.49960045  0.10255639]
9,-3425.7267650000003,-2006.919942,256.71264844444454,36.03285045509636,49.934940624481136,13.95487686113788,53.66343845152697,186.9756123584718,179.84615608297563,66.7408273902876,[-0.24793138  0.30193886  0.9205232 ],[-0.80033217  0.47158171 -0.37024195],[-0.54589234 -0.82851893  0.12473148]
7,-3824.381045714286,-2201.7975972857143,441.47576142857145,18.038531494757862,12.414523210620155,16.23830377560856,12.387387467440238,69.90431511313578,57.27678494205927,47.30156275295018,[0.50798868 0.83175196 0.22391109],[-0.05838539 -0.22610265  0.97235217],[ 0.85938271 -0.50701703 -0.06629542]
7,-3786.7620111428564,-2153.9789657142856,338.9151387142857,16.719098479337944,20.89025797426491,22.42538907201413,17.47026018889431,83.2874700758862,76.65648017020231,65.19655111594967,[0.81881132 0.41316494 0.39855082],[ 0.56749841 -0.6872679  -0.45344061],[-0.08656542 -0.59745926  0.79721318]
7,-4022.8261342857145,-2218.835313142857,429.0076085714286,27.405795067964824,20.50394591356872,18.367940427533753,23.491783749148986,99.7565323877196,85.28027511114101,62.45076332048851,[-0.13452847  0.60358231  0.78586925],[ 0.61964124  0.67013152 -0.40861777],[-0.77327021  0.43198628 -0.46415626]
10,-3599.4124824,-2058.4735889,422.165374,22.398352319753435,26.85085589359031,10.517894940352775,15.899772809549395,111.8431444644128,103.08379420514086,59.41765449152116,[-0.17570881 -0.26173123  0.94901168],[0.79708564 0.52792195 0.29317724],[-0.57773774  0.80795741  0.11586167]
7,-3891.7000399999997,-2256.7418052857142,401.96193785714286,29.864905370482443,11.165000456526013,19.788916163817305,25.789054256848342,96.26192371942466,94.92481844707231,37.91193792877983,[-0.51464326 -0.12077016  0.84885622],[ 0.11657009 -0.99069305 -0.07027591],[-0.84944319 -0.06278423 -0.52393168]
5,-2839.0826456,-1675.165782,330.73364860000004,6.932334442743577,9.977073444575081,11.355874147818026,3.233737138786362,37.041966370797184,27.215969342738678,25.548680399887537,[ 0.79958336  0.49857926 -0.33479123],[ 0.5823576  -0.77988944  0.22941683],[0.14671768 0.3784061  0.91393804]
13,-3132.2242421538467,-1739.2103313846155,282.8601312307693,25.063908358627934,15.773633052387337,18.676519119021044,22.628204024024928,113.8953593944161,105.70889775131624,87.89072544932365,[0.07352714 0.93050291 0.35882879],[-0.06791291 -0.35429582  0.93266409],[-0.99497819  0.09294523 -0.0371428 ]
