N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
2,-2835.428051,1609.1694870000001,120.087434,5.764599000000089,1.3290849999999637,4.357953999999999,5.505231046155586,10.391230113335277,10.391230113335276,1.1920928955078125e-07,[ 0.62007353  0.22886255 -0.75042038],[-0.29769278  0.72918839  0.61616824],[-0.7845437   0.18088427 -0.59310376]
2,-2644.300892,1486.593343,82.145352,4.516958999999815,3.20020999999997,12.928612999999999,2.718190725843897,19.88935880090397,19.88935880090397,1.4600096599955427e-07,[0.32160858 0.88680771 0.33187347],[ 0.94702021 -0.07717094  0.31176494],[-0.32117399 -0.22754783  0.91927648]
2,-2612.824866,1424.473498,160.3369955,19.913195000000087,16.939843999999994,8.0165595,25.986401343853913,38.67192459832855,38.67192459832855,,[0.6853478  0.65823013 0.31149879],[ 0.        -0.4277561  0.9038942],[-0.7282159   0.61948189  0.2931617 ]
