N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
168,17.286035154761905,-1357.2076600297619,3112.0833428214287,39.39497765891761,21.755856151973894,36.73926323544673,28.839891243496627,728.5812799515488,561.383218306341,536.6904902262453,[-0.13991486  0.90401272 -0.40396142],[-0.70534083  0.19533106  0.68142504],[0.69492312 0.38027197 0.61030737]
8,15.685741749999998,-1430.796566375,3348.486793625,24.537071374773415,7.285713503887331,7.344667011532356,8.207511947248149,73.60578257039779,73.24443276227042,23.72635379236461,[-0.19854209 -0.03687923  0.97939826],[0.14566932 0.98708245 0.06669843],[ 0.96920663 -0.15591072  0.19060524]
11,45.15002718181818,-1140.9992353636364,2690.238249181818,4.444189516982859,4.954594389356752,5.032072998250304,4.450667728190974,25.308671048896954,22.975661130928128,19.058935658090846,[ 0.68681139  0.32742498 -0.64890908],[ 0.57548832 -0.79029891  0.21033505],[0.44396319 0.5179001  0.73121554]
9,33.76927333333334,-1617.2998868888888,3832.2060831111107,5.701732020305001,7.780730426843295,15.13733484509133,14.977424107095759,51.24197448815489,48.94783690984895,27.888364533331426,[ 0.99458854  0.04434622 -0.09395236],[-0.02850198  0.98609508  0.16371965],[-0.09990631  0.16015586 -0.98202283]
16,39.383957875,-1170.762759125,2582.9902174374997,8.94953970257132,12.070794068506565,7.544391249597623,9.665229391474996,61.75896189336302,61.020757882450134,38.84861853914365,[0.79696549 0.54197247 0.26666806],[-0.3483708   0.05177     0.93592609],[-0.49344077  0.83880016 -0.23006629]
6,-3.114759833333333,-1065.838912,2327.0140465,7.759784431328885,8.55902174372551,10.984676699362321,13.120656616185476,38.7793312061784,35.33563570497109,17.238534693075646,[-0.47627931  0.79019839  0.38567411],[0.78922513 0.19079904 0.58371176],[ 0.38766184  0.58239353 -0.71451807]
9,-18.214817666666665,-1193.4278686666667,2543.304047111111,7.7291050722544545,10.723087782790648,8.295744598802035,7.836549778763108,44.987758215790805,37.3628592740396,31.046631900042225,[-0.73459402 -0.03656598  0.67752089],[ 0.52331995 -0.66610297  0.53145372],[-0.43186556 -0.74496292 -0.50845096]
47,37.41484061702127,-1401.5332026808508,3022.4423067021266,27.23867154113655,17.502680485458814,11.967959659768265,9.123715898377638,230.28422947549402,225.29661790963502,90.62886927365558,[-0.35612394  0.070773    0.93175475],[ 0.41230817 -0.8829123   0.2246505 ],[0.83855692 0.46417352 0.28524592]
16,-26.7875873125,-1605.9394023749999,3427.0543140625,7.282374880194387,7.210339932975752,3.202828114183735,4.3820694519125,41.067529873431866,32.053313166837754,31.225087764226135,[-0.08227869  0.04400128  0.99563754],[0.55478498 0.83194421 0.00907999],[-0.82791536  0.55311184 -0.09286253]
52,24.75727838461539,-1289.8311995576923,3009.783030365385,15.048786089835735,12.742648388129192,22.520638510357262,20.21344565389423,203.2221842160831,183.37670012277061,135.12894396316534,[-0.56305386 -0.82619435  0.01931953],[-0.77596059  0.52048682 -0.35634061],[ 0.28435104 -0.21563015 -0.93415637]
