N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
43,-1198.019925860465,-2089.991362139535,2337.685727511628,9.579462579730794,18.32194179477112,6.555797142313466,14.688002980647033,138.66337436645702,126.56593649815619,72.18872183972266,[-0.30799251  0.2038948   0.92928334],[-0.949422   -0.00309631 -0.31398771],[-0.06114312 -0.97898791  0.19453585]
6,-1240.156604,-2303.8589428333335,2378.9584718333335,9.426721029673294,12.752038415625089,1.4360081395242728,5.190511194837321,38.87906143651968,38.01391819911863,9.264808416031164,[-0.02602974 -0.06950979  0.99724162],[0.81429023 0.57719226 0.06148588],[-0.57987402  0.81364457  0.04157698]
8,-1174.1420497499998,-2237.1423911249994,2359.533402875,9.673296913054001,6.932784038747452,10.489143196877999,8.554868481786135,44.4540552518252,43.01433029315285,14.146980042016084,[0.42166507 0.88407638 0.20151307],[-0.67362636  0.1566563   0.72227856],[ 0.60698113 -0.44030416  0.66159365]
23,-1443.0315765217392,-2725.468226478261,2977.393187391304,18.47775240577695,8.829247935742869,7.384484897861922,11.163146682488684,98.78871453708828,96.34934639702159,52.5130227864257,[ 0.13533685 -0.42747688  0.8938386 ],[-0.15723177  0.88144074  0.44535422],[-0.9782444  -0.20081267  0.05207847]
27,-963.5638244814814,-1708.7294305555554,1821.7394670740741,16.684060226789065,10.82355309504809,7.816615416762415,12.05449690183796,105.31261159783062,95.63693881824922,66.47998599972685,[0.24228049 0.09914267 0.9651274 ],[ 0.0180066  -0.99505334  0.09769653],[-0.97003914  0.0062913   0.24286723]
7,-1186.591967857143,-2291.767624285714,2424.2000684285713,3.325031604801039,8.671637963980453,11.97345902576983,4.722587978823483,39.70659110063137,38.778854829037506,11.58546926190572,[ 0.69930024 -0.55099865  0.45538958],[-0.70997002 -0.60951228  0.35275678],[ 0.08319704 -0.56999585 -0.8174246 ]
11,-1387.930701181818,-2725.202136090909,2863.5314980909093,6.783974269768681,13.439646602566201,6.891391925376189,13.236775191763714,53.111221586915846,50.21961386899435,26.23390387266589,[0.13099334 0.37732239 0.91677072],[-0.98645694  0.14168191  0.08263738],[-0.09870889 -0.91517979  0.39077168]
10,-1219.0497925,-2362.1789624,2450.9294253,11.91695638584886,4.071732499360374,7.126828093225814,3.66009450206502,44.92750109650011,44.312057740490246,14.340566878848342,[ 0.2038387  -0.97462521  0.09249585],[-0.47266126 -0.01523397  0.88111251],[-0.85734539 -0.22332403 -0.46377285]
27,-1273.164987703704,-2327.232406222222,2628.1512065925926,10.45472374423078,16.235638187056523,10.559349439449322,8.85341187999084,111.70181615278338,100.38800725517632,60.01994100428864,[ 0.83128129  0.5155611  -0.20776948],[ 0.24616297 -0.006321    0.96920784],[-0.49837255  0.8568295   0.13216658]
33,-990.4991353333334,-1750.303255666667,1902.863024,10.828633647263997,39.992578609753146,19.9018657820259,16.358729715556407,258.6403939566131,257.0775545211905,80.3602624182727,[-0.16615641 -0.39659386  0.90283185],[-0.98388672  0.1279752  -0.12485703],[-0.06602256 -0.90903006 -0.41146733]
22,-1206.8664157272729,-2167.228996727273,2440.922249090909,17.723703811755716,15.831113945558268,10.378004451239189,12.80500332021654,119.0030629419507,110.25993038716985,57.17620945312902,[0.37883441 0.66546734 0.64314673],[-0.58587234 -0.36551143  0.72329454],[ 0.71640637 -0.65081074  0.2514106 ]
