N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
687,-3512.0576450989815,-185.9863513056769,-6.017103794759823,505.73499889485754,66.3499089269127,57.37873349460106,506.7296159790213,13377.260777267686,13354.952879785234,2166.0166674246243,[ 0.01596845 -0.53026402  0.84768218],[-0.05628411  0.8459693   0.5302528 ],[-0.99828709 -0.05617835 -0.01633661]
5,-4534.752020400001,-262.9900432,92.7998156,19.63840283661396,9.52575900262628,15.732212785584496,19.65428737029543,58.27624187876904,48.87147188778288,38.13860989614542,[ 0.23011554 -0.87865072 -0.41835362],[-0.37858407 -0.47685329  0.79327488],[0.89650485 0.02416286 0.44237452]
17,-4626.202071882353,-278.61840105882357,62.23382141176471,17.998810289532827,53.5478301484225,33.35176051361383,17.35181991687418,261.93459455846835,250.31859100563176,122.70108586992168,[ 0.96469221  0.19705529 -0.17475168],[ 0.2408019  -0.39111336  0.88828193],[-0.10669293  0.89899919  0.4247553 ]
6,-2664.6397668333334,-97.77453933333334,-36.02726716666667,22.298423748280946,6.439732722223795,18.331007479155407,22.29799909289882,71.55122128200817,55.81509535818326,47.557188688138204,[ 0.03382781 -0.96979513  0.24156381],[0.0047693  0.24185603 0.97030042],[-0.9994163  -0.03167104  0.0128067 ]
7,-3263.614942,-162.7478015714286,74.63195971428571,24.732604906229067,26.762319427030437,9.102925167376108,23.824766343365198,97.94300565100181,89.51336129165155,46.31997472609944,[-0.2965854  -0.30769626  0.90407971],[-0.68995582 -0.58550365 -0.42561303],[ 0.6603015  -0.75000566 -0.03864499]
