N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
6710,-2917.113372496274,-2139.606248586736,-39.820540429359156,451.5273375831577,334.68396068984634,47.87192625814984,559.7975724568095,46040.73518281763,46012.56870529633,5752.983456181212,[ 0.11814779 -0.1651786   0.97916144],[-0.58152238  0.78778026  0.20306153],[-0.80490548 -0.59339556 -0.00298056]
8,-2904.7225120000003,-2149.1102598750003,-130.12512362500001,6.31866811881647,7.70906370345565,4.791359428614204,7.507861656592168,30.818544902403584,23.993549001934557,20.773169687170615,[ 0.4763116  -0.36820948 -0.79846668],[-0.87346921 -0.09394808 -0.47772932],[-0.10089005 -0.92498407  0.3663682 ]
9,-2327.422047666667,-1723.7374826666667,28.697461333333333,8.955175442815547,7.204197148168032,11.177437010844143,4.0071417472355515,47.560175268069486,34.65041605682623,34.11643870082815,[0.60953055 0.78302731 0.12385774],[ 0.73128432 -0.49503222 -0.46921887],[ 0.30609762 -0.37657846  0.87435285]
24,-2835.9536248333334,-2110.2841745833334,33.35119025,8.421956035340338,19.072052559477047,7.04750626015061,9.034443147071563,104.19839556255323,102.47063964876762,43.483059432141815,[-0.51315675 -0.30998925  0.80036043],[-0.81152272 -0.12839098 -0.5700409 ],[ 0.27946561 -0.94203101 -0.18567862]
3,-2996.4061816666667,-2220.205457,50.13144666666667,2.7048355105269506,0.8041786919662817,6.9888333165663346,2.5455679094155372,13.054496884334657,13.043129390643749,0.5446692593019907,[-0.7119545   0.67293544  0.20069549],[-0.6039388  -0.73259105  0.31395586],[-0.35829974 -0.10231449 -0.92798332]
3,-2713.2114283333335,-1976.7878163333332,37.828520999999995,1.0618878163925405,3.3906781206313483,4.618455497357169,2.5764247003924847,10.092735263554628,9.444644533289557,3.5583696744440116,[-0.95042797 -0.13448321 -0.2803586 ],[-0.26169554  0.83290711  0.48762813],[-0.16793487 -0.53682401  0.82681187]
4,-2919.140277,-2085.875382,35.71137275,14.746713411889347,4.544445949801665,0.9552396640355176,12.830521161902691,30.916656601745032,29.622060745848547,8.884485793197817,[-0.06309986  0.06854854  0.99565029],[-0.06927628  0.99493112 -0.07288945],[-0.99559992 -0.07357427 -0.05803122]
4,-3133.924333,-2238.82392325,-118.537352,5.238827113924849,9.484348200422984,4.1774805806620465,6.731419318965117,22.28055382239397,20.311403732137215,13.031497010845799,[0.45201264 0.16388334 0.87682771],[ 0.89184472 -0.06402057 -0.4477883 ],[ 0.01725003 -0.98440013  0.17509659]
4,-2868.39806075,-2047.97860075,34.6969265,4.97985713713922,3.2935002727587355,8.644394071794638,4.5292638285861395,20.12678398894875,18.530873785864763,11.597096324778837,[0.01836052 0.98665013 0.16181597],[-0.99713873  0.02993959 -0.06941161],[-0.07332968 -0.16007853  0.98437677]
3,-3377.864967,-2411.8909076666664,35.43483166666667,9.9023615457616,2.01139982168554,2.8903934678237517,8.884961089944012,18.203587653907096,17.50752311135407,4.98570335849233,[-0.19122445  0.83642769 -0.51363599],[0.06347637 0.53273536 0.84389797],[-0.97949168 -0.12877018  0.15496542]
2,-2912.125355,-2095.63976,-116.2361195,1.7499769999999444,6.666362999999819,0.8518985000000043,5.339065720889948,9.821257170301331,9.821257170301331,5.1619136559035694e-08,[ 0.9677303  -0.24995555 -0.03194197],[ 8.07087025e-04 -1.26968185e-01  9.91906462e-01],[-0.25198823 -0.95992405 -0.12266927]
11,-2587.5744713636363,-1979.0734625454543,-18.975346454545456,8.697945514985646,3.671287667410588,11.72730380830651,8.448924255427196,49.09629688098485,47.657495154755374,17.461002108344054,[ 0.08594245 -0.98421173  0.15472933],[-0.82570935  0.01654232  0.56385319],[-0.5575105  -0.17622037 -0.81125114]
2,-2594.1254289999997,-1976.989314,32.6954525,1.0640510000000631,11.412296999999967,4.246889499999998,7.720786664399384,17.286341300114355,17.286341300114355,,[ 0.99620385 -0.08158515 -0.03036051],[-0.05563388 -0.34366594  0.93744258],[-0.08705112 -0.93365189 -0.34744245]
2,-3585.2710055,-2536.0426705,-129.0032445,2.4281564999998864,0.963932499999828,3.0461045000000055,2.4484710845472364,5.6751850151282115,5.6751850151282115,,[ 0.7961659  -0.18255329  0.57688314],[-0.15445668  0.97070446  0.18405428],[-0.6050784  -0.24020475  0.75906641]
3,-2825.016312333333,-2133.950326,-13.168783666666668,0.5983324099446082,2.1039033328080996,1.8625758519524036,1.3264018380161116,4.976022420829926,4.865732483252243,1.0418476539427841,[-0.12611446  0.65605169  0.74410438],[0.99188578 0.09553177 0.08388254],[-0.01605433  0.74864535 -0.66277628]
2,-2339.2360405,-1801.1605355000002,-60.017829500000005,7.945795500000031,8.270730500000013,3.8053305,11.416572867206696,17.08924745831024,17.089247458310236,,[ 0.75341004 -0.59735702 -0.27484161],[-0.04628206 -0.38049252  0.92362515],[-0.657551   -0.68444086 -0.31490854]
