N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
6981,-882.2735817597766,-2785.648379031371,2011.2921465345937,152.08724671406026,452.79086383493967,327.0169310728706,574.9325491315045,48207.68576932562,48187.88803886582,5698.72225723882,[-0.8195118   0.48364716  0.30738548],[0.51461069 0.38508812 0.76608288],[-0.25214331 -0.78599781  0.56447426]
5,-836.2956722000001,-2707.6310284,1849.1898403999999,3.2630222162717963,11.883688509638722,1.9801711285365782,10.18912050946322,27.605211144591717,27.343371331551893,6.942391853698617,[-0.41581392  0.08995     0.90499049],[-0.89003887  0.16424662 -0.42526915],[-0.18689459 -0.98230955  0.01176297]
22,-788.2875820454545,-2713.3230105909092,1898.5666641818184,19.3333830090678,11.985875505427785,10.8265538897297,9.73198559801917,112.08392780927763,103.85031716673261,67.65450939823684,[-0.11695535 -0.54643     0.82929832],[-0.41183696  0.78653263  0.46017034],[-0.90372107 -0.28771631 -0.31702927]
2,-909.2058930000001,-2789.930757,1948.029838,0.2471119999999587,6.440607999999884,4.634894000000031,2.602025254149112,11.227175792820097,11.227175792820095,,[-0.01584942 -0.58363611  0.81186063],[ 0.99951544 -0.02526505 -0.01818164],[-0.03112707 -0.81128107 -0.58382714]
3,-1107.1292119999998,-3357.482282333333,2331.2259906666663,9.389432115089924,1.2047301670292188,4.208981809995869,1.190450602823903,17.943940879537173,17.847619253404265,1.8567448057928797,[-0.26964944  0.62072563  0.73619893],[-0.31311673 -0.77949128  0.54254148],[ 0.91063005 -0.08422019  0.40454897]
6,-724.741547,-2159.516825166667,1627.9204406666665,10.470761171614138,12.578862732724447,6.608739346919067,11.869052572321666,42.88655927311286,39.40043576306078,18.62335765648528,[0.06213664 0.47332097 0.87869579],[ 0.84402969  0.44496234 -0.29937002],[-0.53268464  0.76024718 -0.37184848]
2,-982.1518845,-2843.835838,2083.132863,5.055441499999972,7.843187999999827,2.937554999999975,3.066094388935653,13.834906298294046,13.834906298294044,1.4600096599955427e-07,[0.85612386 0.48394128 0.18125335],[ 0.06111269 -0.3153024   0.94702146],[ 0.51677068 -0.80173603 -0.30027888]
2,-857.286646,-3002.8302075,2102.9418109999997,1.2487130000000093,1.165237500000103,5.810377000000017,4.459214216270084,8.564758428572835,8.564758428572835,5.5755039852469285e-08,[ 0.97851248 -0.0405425   0.20216238],[-0.10383256  0.97924433  0.17406704],[-0.20618759 -0.1924041   0.95940989]
5,-747.032547,-2469.9487814,1767.1105488,3.8855699841579256,4.418961426983125,3.9388339424615064,5.575889105329778,14.880096997277251,13.74962439390679,9.535376898188654,[-0.35630013  0.68676247  0.63356731],[ 0.83072213 -0.07756933  0.55125652],[ 0.42772767  0.72273115 -0.54287082]
2,-1082.4700189999999,-3218.179928,2399.4491615,1.4842310000000225,0.2294360000000779,6.542592499999955,4.3398913370870105,9.493271212865752,9.49327121286575,7.884953353001448e-08,[0.         0.99938568 0.03504651],[ 0.97524977 -0.007749    0.22097021],[-0.22110604 -0.0341791   0.97465066]
4,-789.3734694999999,-2684.770924,1997.998004,3.5929250205587877,3.54629401875512,0.3255960606848491,3.7207782953810007,10.117516788330082,10.083625951749168,0.8288159189247907,[-0.38375983  0.4389694   0.81242493],[ 0.58926311 -0.56096884  0.58144901],[ 0.71098339  0.70186881 -0.04339116]
