N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
2,-2367.1467775,-1805.772717,14.729493,5.9326275000000805,11.996883000000025,13.287446,12.058620835061447,26.671238890323895,26.67123889032389,,[0.3504192  0.61198405 0.70900064],[ 0.9492339  -0.21080741  0.23348499],[-0.31457115 -0.63612173  0.70455244]
3,-3280.387331,-2318.902187,41.699159333333334,21.07747376751008,10.162715847020213,8.343241709502141,20.398562290963504,43.02849204993805,39.04176677757278,18.08843760464668,[-0.35304602  0.45260617  0.81884441],[ 0.03532621 -0.86812957  0.49507889],[-0.9349388  -0.2037123  -0.29050083]
