TARGETID,r,type,p_void,p_sheet,p_filament,p_knot,H
39628475698512738,-0.3684210526315789,sheet,0.0,1.0,0.0,0.0,-0.0
39628480941393805,-0.42857142857142855,sheet,0.0,1.0,0.0,0.0,-0.0
39628427900226170,-0.1111111111111111,sheet,0.0,0.78,0.22,0.0,0.38008375148098283
39628470430466893,-0.14285714285714285,filament,0.0,0.44,0.56,0.0,0.4947937606110278
39628470430467235,-0.05263157894736842,sheet,0.0,0.51,0.49,0.0,0.49985572087640495
39628449270205942,0.0,sheet,0.0,0.8,0.2,0.0,0.36096404744368116
39628449286979839,0.3333333333333333,filament,0.0,0.13,0.87,0.0,0.2787190925139945
39628411756347537,0.1111111111111111,filament,0.0,0.48,0.52,0.0,0.4994227679976009
39628449286979905,0.25,filament,0.0,0.0,1.0,0.0,-0.0
39628427896031149,0.42857142857142855,filament,0.0,0.01,0.98,0.01,0.08072027127091033
39628438595702394,-0.3333333333333333,filament,0.0,0.21,0.79,0.0,0.37074136996563684
39628411752154597,-0.30434782608695654,sheet,0.0,0.98,0.02,0.0,0.07072027127091034
39628449261816849,0.42857142857142855,filament,0.0,0.12,0.88,0.0,0.2646804326436822
39628427917003730,0.3333333333333333,filament,0.0,0.22,0.78,0.0,0.38008375148098283
39628449286981734,0.0,filament,0.0,0.17,0.83,0.0,0.32885238937210975
39628459894375598,0.0,filament,0.0,0.28,0.72,0.0,0.4277254052800653
39628427917003088,0.0,filament,0.0,0.41,0.59,0.0,0.488250234378912
39628459865016298,-0.29411764705882354,sheet,0.0,0.55,0.45,0.0,0.49638722699390414
39628422544100581,0.3333333333333333,filament,0.0,0.12,0.88,0.0,0.2646804326436822
39628454584386627,0.2,filament,0.0,0.05,0.95,0.0,0.14319847855797813
39628454588581695,-0.2,sheet,0.0,0.89,0.11,0.0,0.249957979082264
39628454588585255,-0.6666666666666666,sheet,0.0,0.96,0.04,0.0,0.12114609454120741
39628465149838550,0.38461538461538464,filament,0.0,0.05,0.95,0.0,0.14319847855797813
39628449257624403,-0.5555555555555556,sheet,0.01,0.93,0.06,0.0,0.20367037270049304
39628411752157549,-0.5384615384615384,sheet,0.0,0.66,0.34,0.0,0.46240935248651505
39628422531518885,0.1111111111111111,sheet,0.0,0.51,0.49,0.0,0.49985572087640495
39628427912806818,0.3333333333333333,filament,0.0,0.01,0.99,0.0,0.04039656794795559
39628459890181251,0.75,filament,0.0,0.01,0.99,0.0,0.04039656794795559
39628417167002298,-0.14285714285714285,sheet,0.0,0.61,0.39,0.0,0.4823997742525436
39628449261816551,-0.2631578947368421,filament,0.0,0.41,0.59,0.0,0.488250234378912
39628449261816555,-0.058823529411764705,sheet,0.0,0.88,0.12,0.0,0.2646804326436822
39628449261816557,-0.2,filament,0.0,0.26,0.74,0.0,0.4133731862463089
39628459890181362,0.4444444444444444,filament,0.0,0.35,0.65,0.0,0.4670340276877455
39628454584386600,0.23809523809523808,filament,0.0,0.3,0.7,0.0,0.44064544961534635
39628449261816738,0.07692307692307693,filament,0.0,0.22,0.78,0.0,0.38008375148098283
39628459865016050,0.4117647058823529,filament,0.0,0.31,0.69,0.0,0.4465867291889284
39628449261816951,0.05263157894736842,sheet,0.0,0.79,0.21,0.0,0.37074136996563684
39628422531518854,0.3333333333333333,filament,0.0,0.37,0.63,0.0,0.47533604634353294
39628449261817038,0.1111111111111111,filament,0.0,0.29,0.71,0.0,0.43436062316970225
39628454588581535,0.38461538461538464,filament,0.0,0.17,0.83,0.0,0.32885238937210975
39628422531518665,0.3333333333333333,filament,0.0,0.0,1.0,0.0,-0.0
39628454588581327,0.5555555555555556,filament,0.0,0.02,0.98,0.0,0.07072027127091034
39628422552487308,0.09090909090909091,filament,0.0,0.47,0.53,0.0,0.4987007942838698
39628465170809264,-0.23076923076923078,sheet,0.0,0.61,0.39,0.0,0.4823997742525436
39628454571803611,0.6923076923076923,filament,0.0,0.0,0.99,0.01,0.04039656794795559
39628433247963936,0.45454545454545453,filament,0.0,0.07,0.93,0.0,0.18296182545011158
39628443947632041,-0.5555555555555556,sheet,0.0,1.0,0.0,0.0,-0.0
39628433264739174,0.5555555555555556,filament,0.0,0.01,0.89,0.1,0.27413031336294724
39628411756348660,0.09090909090909091,filament,0.0,0.09,0.91,0.0,0.21823490853205144
39628459890183273,0.07692307692307693,filament,0.0,0.4,0.6,0.0,0.4854752972273343
39628433264739173,0.2222222222222222,filament,0.0,0.45,0.55,0.0,0.49638722699390414
39628459885987079,-0.30434782608695654,sheet,0.0,0.75,0.25,0.0,0.4056390622295664
39628411756347810,-0.6666666666666666,sheet,0.0,0.89,0.11,0.0,0.249957979082264
39628443947632004,-0.14285714285714285,sheet,0.0,0.64,0.36,0.0,0.4713415946277461
39628433277321597,-0.14285714285714285,filament,0.0,0.04,0.96,0.0,0.12114609454120741
39628417141834057,-0.058823529411764705,sheet,0.0,0.92,0.08,0.0,0.2010895951011364
39628454571803763,-0.2857142857142857,sheet,0.0,0.75,0.25,0.0,0.4056390622295664
39628459885986829,0.06666666666666667,sheet,0.0,0.84,0.16,0.0,0.3171547773202831
39628454571803641,0.17647058823529413,sheet,0.0,0.72,0.28,0.0,0.4277254052800653
39628427887643194,0.0,sheet,0.0,0.88,0.12,0.0,0.2646804326436822
39628433264739171,0.42857142857142855,filament,0.0,0.24,0.76,0.0,0.39752013969226113
39628427887643439,-0.17647058823529413,sheet,0.0,0.68,0.32,0.0,0.45219072886224687
39628454588581279,-0.125,sheet,0.0,0.94,0.06,0.0,0.16372245957723813
39628459894376625,0.23076923076923078,filament,0.0,0.05,0.95,0.0,0.14319847855797813
39628411752153743,-0.1111111111111111,sheet,0.0,0.6,0.4,0.0,0.4854752972273343
39628454601163146,0.0,filament,0.0,0.15,0.85,0.0,0.3049201523582002
39628454592776740,0.14285714285714285,filament,0.0,0.34,0.66,0.0,0.46240935248651505
39628422539906016,0.2727272727272727,sheet,0.0,0.53,0.47,0.0,0.4987007942838698
39628417150225896,0.06666666666666667,sheet,0.0,0.64,0.36,0.0,0.4713415946277461
39628427912806950,0.25,filament,0.0,0.09,0.91,0.0,0.21823490853205144
